trial_id,model,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
00cb81ad,google/gemma-4-31b-it,3,1,42,True,True,True,True,hit,2530,2,0,0.00025368,CoreWeave,
02f5f755,google/gemma-4-31b-it,3,1,15,False,False,False,False,correct_rejection,2528,2,0,0.001898,ModelRun,
036b47a5,google/gemma-4-31b-it,3,1,126,True,True,True,True,hit,2528,2,0,0.00030356,Chutes,
00cb81ad,qwen/qwen3.6-plus,3,1,42,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
02f5f755,qwen/qwen3.6-plus,3,1,15,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
036b47a5,qwen/qwen3.6-plus,3,1,126,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
00cb81ad,qwen/qwen3.5-397b-a17b,3,1,42,True,True,True,True,hit,2638,2,0,0.0011931,DeepInfra,
02f5f755,qwen/qwen3.5-397b-a17b,3,1,15,False,False,False,False,correct_rejection,7397,3363,3358,0.016545,GMICloud,
036b47a5,qwen/qwen3.5-397b-a17b,3,1,126,True,True,False,False,miss,7399,2,0,0.00289029,Alibaba,
00cb81ad,moonshotai/kimi-k3,3,1,42,True,True,True,True,hit,5280,11,0,0.0045219,Moonshot AI,
02f5f755,moonshotai/kimi-k3,3,1,15,False,False,False,False,correct_rejection,5280,11,0,0.0045219,Moonshot AI,
036b47a5,moonshotai/kimi-k3,3,1,126,True,True,True,True,hit,5280,11,0,0.0045219,Moonshot AI,
00cb81ad,z-ai/glm-5v-turbo,3,1,42,True,True,True,True,hit,3936,2,0,0.0010448,Z.AI,
02f5f755,z-ai/glm-5v-turbo,3,1,15,False,False,False,False,correct_rejection,3936,2,0,0.0010448,Z.AI,
036b47a5,z-ai/glm-5v-turbo,3,1,126,True,True,False,False,miss,3936,2,0,0.0010448,Z.AI,
049d46ce,google/gemma-4-31b-it,3,1,46,True,True,True,True,hit,2528,2,0,0.00030356,Chutes,
0519fe98,google/gemma-4-31b-it,3,1,12,True,True,True,True,hit,2528,2,0,0.00030356,Chutes,
16aac377,google/gemma-4-31b-it,3,1,22,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
180ccd70,google/gemma-4-31b-it,3,1,277,False,False,True,True,false_alarm,2528,1,0,0,Chutes,
0559d000,google/gemma-4-31b-it,3,1,32,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
191e0918,google/gemma-4-31b-it,3,1,3,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
0f5e8586,google/gemma-4-31b-it,3,1,44,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
0ffaf5e6,google/gemma-4-31b-it,3,1,148,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
2438d3ec,google/gemma-4-31b-it,3,1,34,True,True,True,True,hit,2528,2,0,0.000303668,Chutes,
22f013ce,google/gemma-4-31b-it,3,1,27,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
1abfc331,google/gemma-4-31b-it,3,1,123,False,False,False,False,correct_rejection,2528,2,0,0.00037964,Parasail,
1fca7ed2,google/gemma-4-31b-it,3,1,53,False,False,False,False,correct_rejection,2530,2,0,0.00025368,CoreWeave,
31e02d7c,google/gemma-4-31b-it,3,1,20,True,True,True,True,hit,2528,1,0,0,Chutes,
372f824e,google/gemma-4-31b-it,3,1,136,True,True,False,False,miss,2528,2,0,0.00036281,Parasail,
1a3937d4,google/gemma-4-31b-it,3,1,28,True,True,True,True,hit,2528,2,0,0.00036281,Parasail,
