trial_id,n_circles,seed,true_letters,heuristic_letters,predicted_letters,heuristic_correct,model_matches_truth,model_matches_heuristic
046666a0,3,10,C,B,B,False,False,True
0bb5b5b2,2,19,A,B,A,False,True,False
2147fc6a,3,15,A,C,B,False,False,False
28980a51,2,2,B,A,B,False,True,False
2ea4ff3c,3,12,C,C,C,True,True,True
36dd4953,2,17,A,A,A,True,True,True
449b49ec,3,11,A,C,B,False,False,False
4629b7f3,3,3,A,C,B,False,False,False
511f78e8,3,4,B,B,B,True,True,True
51b3b35f,2,0,B,B,B,True,True,True
571d75af,3,16,A,B,A,False,True,False
6be7bc00,3,13,C,A,C,False,True,False
7aa62307,2,7,A,A,A,True,True,True
7f37142f,2,8,A,A,A,True,True,True
84b49841,3,14,A,A,A,True,True,True
87836db3,3,5,B,B,B,True,True,True
8dffb57d,2,14,A,A,A,True,True,True
936f7248,3,8,C,C,C,True,True,True
9388eec5,3,6,C,C,A,True,False,False
9b2edbe1,2,10,A,B,B,False,False,True
a28309a7,2,1,A,B,A,False,True,False
a864a9fe,2,6,B,B,B,True,True,True
affa505b,3,1,C,B,C,False,True,False
b23cb9b4,2,13,A,B,A,False,True,False
b6ef6228,2,12,B,B,B,True,True,True
b6f43e7b,2,4,B,A,B,False,True,False
c3e8ce80,2,5,A,B,A,False,True,False
c9f1aac2,3,0,B,C,C,False,False,True
d03e6c21,2,16,A,A,B,True,False,False
d661cf3e,3,2,B,C,A,False,False,False
ec9961a1,3,9,C,A,A,False,False,True
f0e5db16,2,9,A,A,A,True,True,True
f544d870,2,11,A,B,A,False,True,False
f6e266d7,2,3,A,B,B,False,False,True
f8fb70e4,2,18,A,A,A,True,True,True
fe1c6086,3,17,A,A,B,True,False,False
2ec74f7c,3,18,B,B,A,True,False,False
d141400d,3,19,B,C,B,False,True,False
a3121bb9,4,0,B,A,A,False,False,True
799c1ce8,4,1,B,D,D,False,False,True
85c8ffd6,4,2,C,D,C,False,True,False
49762639,4,3,C,D,B,False,False,False
5e955610,4,4,C,C,C,True,True,True
fc87b671,4,5,B,C,D,False,False,False
c3b1a1a8,4,6,B,D,D,False,False,True
233ba1bf,4,7,D,C,D,False,True,False
9a3dd3f2,4,8,A,C,A,False,True,False
c27fdd63,4,9,C,C,B,True,False,False
42043fe6,4,10,B,C,D,False,False,False
4d41fea1,4,11,B,B,D,True,False,False
58340caf,4,12,B,B,B,True,True,True
0a4c72ea,4,13,B,D,B,False,True,False
10d3586c,4,14,A,B,A,False,True,False
be2fa952,4,15,D,B,B,False,False,True
db729fd9,4,16,A,B,B,False,False,True
01f475fd,4,17,B,B,D,True,False,False
b1d2ed57,4,18,A,A,A,True,True,True
7accfb59,4,19,B,B,B,True,True,True
d894d514,6,0,E,D,D,False,False,True
c815056d,6,1,C,F,F,False,False,True
8264a60b,6,2,E,C,A,False,False,False
87056e77,6,3,C,E,B,False,False,False
efaa652d,6,4,E,F,C,False,False,False
e7f1f3fa,6,5,A,A,C,True,False,False
1c5a4a55,6,10,D,C,B,False,False,False
dd817d79,6,7,E,B,B,False,False,True
5dd680bd,6,8,B,D,C,False,False,False
cc044d7c,6,9,D,D,D,True,True,True
cce6a072,6,12,B,B,B,True,True,True
55560f68,6,13,F,C,E,False,False,False
82abbd6b,6,6,C,E,E,False,False,True
c018da49,6,18,D,D,B,True,False,False
1d859df5,6,16,C,B,E,False,False,False
bc37e603,8,0,H,E,E,False,False,True
5365a707,8,1,E,C,C,False,False,True
7d87ad51,6,15,D,F,C,False,False,False
934e9685,8,2,D,B,G,False,False,False
ea37e57f,6,19,D,E,D,False,True,False
9dfa25c1,8,5,D,A,C,False,False,False
f620cf3d,8,3,C,C,F,True,False,False
832ef062,8,4,B,A,E,False,False,False
845b2d13,8,6,D,G,F,False,False,False
ba74ba84,6,17,A,D,A,False,True,False
0e0be1dc,8,7,G,C,C,False,False,True
43ed2935,8,10,C,H,H,False,False,True
b9b0cd30,8,11,D,B,E,False,False,False
1fde2f49,8,9,B,C,F,False,False,False
0805a9bb,8,13,A,A,E,True,False,False
b53db9e0,8,14,A,E,E,False,False,True
e1cb953b,8,8,A,H,H,False,False,True
23602b37,8,16,G,A,A,False,False,True
d6e4bde7,8,19,C,H,A,False,False,False
bf0578b7,8,18,G,F,B,False,False,False
8da59d7c,8,12,D,A,F,False,False,False
ffed0072,8,15,C,D,F,False,False,False
