trial_id,video_variant,model,reasoning_level,n_objects,rotation_deg,clockwise,probe_on_target,seed,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
0f64beac,native,qwen/qwen3.8-27b,none,3,360,True,False,8600,False,False,False,correct_rejection,1728,2,0,0.0006972,
1808d7c4,stretched,qwen/qwen3.8-27b,none,3,45,False,True,100450,True,False,False,miss,7408,2,0,0.0031535,
84a6995d,native,qwen/qwen3.8-27b,none,3,45,True,False,5450,False,False,False,correct_rejection,1728,2,0,0.0006963,
89f6ae81,native,qwen/qwen3.8-27b,none,3,90,True,True,900,True,False,False,miss,1728,2,0,0.000784,
333ab716,native,qwen/qwen3.8-27b,none,3,180,False,False,106800,False,False,False,correct_rejection,1728,2,0,0.000784,
55a72242,native,qwen/qwen3.8-27b,none,3,90,False,False,105900,False,False,False,correct_rejection,1728,2,0,0.0006103,
96a5c499,native,qwen/qwen3.8-27b,none,3,360,True,True,3600,True,True,True,hit,1728,2,0,0.0006103,
ad509fbb,native,qwen/qwen3.8-27b,none,3,90,True,False,5900,False,False,False,correct_rejection,1728,2,0,0.00083624,
9b061c63,native,qwen/qwen3.8-27b,none,3,180,True,True,1800,True,False,False,miss,1728,2,0,0.0006103,
ad0504fa,native,qwen/qwen3.8-27b,none,3,180,True,False,6800,False,True,True,false_alarm,1728,2,0,0.0006103,
e1ba0af3,native,qwen/qwen3.8-27b,none,3,45,False,False,105450,False,False,False,correct_rejection,1648,2,0,0.0007055,
d84963ec,native,qwen/qwen3.8-27b,none,3,180,False,True,101800,True,False,False,miss,1728,2,0,0.0006103,
f8b9913b,native,qwen/qwen3.8-27b,none,3,45,True,True,450,True,True,True,hit,1728,2,0,0.0006963,
fbf39c7f,native,qwen/qwen3.8-27b,none,3,360,False,False,108600,False,False,False,correct_rejection,1728,2,0,0.000784,
fe205fc4,native,qwen/qwen3.8-27b,none,3,90,False,True,100900,True,False,False,miss,1728,2,0,0.0006963,
a9f066df,native,qwen/qwen3.8-27b,none,3,45,False,True,100450,True,True,True,hit,1648,2,0,0.0007055,
2f7a347e,stretched,qwen/qwen3.8-27b,none,3,45,True,False,5450,False,True,True,false_alarm,7848,2,0,0.003538,
520ca143,stretched,qwen/qwen3.8-27b,none,3,90,True,True,900,True,False,False,miss,7408,2,0,0.0031535,
56d77c12,stretched,qwen/qwen3.8-27b,none,3,360,False,False,108600,False,False,False,correct_rejection,7848,2,0,0.0027523,
a4f0ee1f,stretched,qwen/qwen3.8-27b,none,3,180,True,False,6800,False,False,False,correct_rejection,7848,2,0,0.0027523,
