trial_id,model_tag,n_objects,rotation_deg,clockwise,probe_on_target,seed,num_frames,sampling,probe_is_target,response,predicted,outcome,prompt_tokens,output_tokens,generation_time_s,error
060b9818,gemma-4-31b-it,3,40.0,False,False,105409,4,greedy,False,True,True,false_alarm,497,2,1.5940022468566895,
0e23ec70,gemma-4-31b-it,3,40.0,True,True,401,4,greedy,True,True,True,hit,497,2,0.4405076503753662,
128ca629,gemma-4-31b-it,3,40.0,False,True,100408,4,greedy,True,True,True,hit,497,2,0.4625089168548584,
1ce7215d,gemma-4-31b-it,3,40.0,True,True,408,4,greedy,True,True,True,hit,497,2,0.46660828590393066,
1f358840,gemma-4-31b-it,3,40.0,True,False,5409,4,greedy,False,True,True,false_alarm,497,2,0.4654653072357178,
26b72eb5,gemma-4-31b-it,3,40.0,True,False,5406,4,greedy,False,True,True,false_alarm,497,2,0.4624495506286621,
2de42c4a,gemma-4-31b-it,3,40.0,True,False,5408,4,greedy,False,True,True,false_alarm,497,2,0.43985915184020996,
31d962b9,gemma-4-31b-it,3,40.0,True,True,405,4,greedy,True,True,True,hit,497,2,0.45433664321899414,
3c0091bd,gemma-4-31b-it,3,40.0,True,True,407,4,greedy,True,True,True,hit,497,2,0.45902180671691895,
3c144664,gemma-4-31b-it,3,40.0,True,False,5400,4,greedy,False,True,True,false_alarm,497,2,0.4524879455566406,
3cc8dfa0,gemma-4-31b-it,3,40.0,True,True,400,4,greedy,True,True,True,hit,497,2,0.452258825302124,
3d720cad,gemma-4-31b-it,3,40.0,True,True,402,4,greedy,True,True,True,hit,497,2,0.4409937858581543,
3eed1589,gemma-4-31b-it,3,40.0,False,True,100402,4,greedy,True,True,True,hit,497,2,0.4772064685821533,
476754a0,gemma-4-31b-it,3,40.0,False,False,105401,4,greedy,False,True,True,false_alarm,497,2,0.4555094242095947,
4a73bc16,gemma-4-31b-it,3,40.0,False,True,100406,4,greedy,True,True,True,hit,497,2,0.45165371894836426,
4d8173d5,gemma-4-31b-it,3,40.0,False,True,100401,4,greedy,True,True,True,hit,497,2,0.4437127113342285,
52bbb35b,gemma-4-31b-it,3,40.0,False,True,100409,4,greedy,True,True,True,hit,497,2,0.44806432723999023,
53c6e3bd,gemma-4-31b-it,3,40.0,True,True,409,4,greedy,True,True,True,hit,497,2,0.4457857608795166,
