trial_id,model,host,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
955c838c,google/gemma-4-31b-it,deepinfra-fp4,3,1,4,True,True,False,False,miss,2528,2,0,0.0002282,DeepInfra,
220404fb,google/gemma-4-31b-it,deepinfra-fp4,3,1,0,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
57d086b9,google/gemma-4-31b-it,deepinfra-fp4,3,1,3,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
25eefda3,google/gemma-4-31b-it,deepinfra-fp4,3,1,2,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
bc206845,google/gemma-4-31b-it,deepinfra-fp4,3,1,7,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
0af6bbe7,google/gemma-4-31b-it,deepinfra-fp4,3,1,5,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
dd317b97,google/gemma-4-31b-it,deepinfra-fp4,3,1,6,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
374db723,google/gemma-4-31b-it,deepinfra-fp4,3,1,8,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
fc7d2bea,google/gemma-4-31b-it,deepinfra-fp4,3,1,10,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
e6ebe48d,google/gemma-4-31b-it,deepinfra-fp4,3,1,12,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
bc05b385,google/gemma-4-31b-it,deepinfra-fp4,3,1,11,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
de40d654,google/gemma-4-31b-it,deepinfra-fp4,3,1,9,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
b2cbc6b6,google/gemma-4-31b-it,deepinfra-fp4,3,1,14,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
d87c3568,google/gemma-4-31b-it,deepinfra-fp4,3,1,15,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
a9514ddb,google/gemma-4-31b-it,deepinfra-fp4,3,1,1,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
a6fc4a60,google/gemma-4-31b-it,deepinfra-fp4,3,1,16,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
d4743d63,google/gemma-4-31b-it,deepinfra-fp4,3,1,17,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
7859e355,google/gemma-4-31b-it,deepinfra-fp4,3,1,19,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
b6765be4,google/gemma-4-31b-it,deepinfra-fp4,3,1,13,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
5c26ee57,google/gemma-4-31b-it,deepinfra-fp4,3,1,18,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
bfe1b8eb,google/gemma-4-31b-it,deepinfra-fp4,4,1,6,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
d7c0c11a,google/gemma-4-31b-it,deepinfra-fp4,4,1,0,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
33d5cd53,google/gemma-4-31b-it,deepinfra-fp4,4,1,7,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
6f22cbdf,google/gemma-4-31b-it,deepinfra-fp4,4,1,2,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
c851c043,google/gemma-4-31b-it,deepinfra-fp4,4,1,4,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
e0b2d2fa,google/gemma-4-31b-it,deepinfra-fp4,4,1,10,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
15626428,google/gemma-4-31b-it,deepinfra-fp4,4,1,12,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
14760e9c,google/gemma-4-31b-it,deepinfra-fp4,4,1,9,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
62a082fe,google/gemma-4-31b-it,deepinfra-fp4,4,1,8,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
ac70b1e1,google/gemma-4-31b-it,deepinfra-fp4,4,1,3,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
a9e622b0,google/gemma-4-31b-it,deepinfra-fp4,4,1,14,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
3cd9d39f,google/gemma-4-31b-it,deepinfra-fp4,4,1,11,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
b2e364e6,google/gemma-4-31b-it,deepinfra-fp4,4,1,15,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
6ec96aa8,google/gemma-4-31b-it,deepinfra-fp4,4,1,1,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
f7e0e3ec,google/gemma-4-31b-it,deepinfra-fp4,4,1,13,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
85c4ca88,google/gemma-4-31b-it,deepinfra-fp4,4,1,18,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
b198b2f8,google/gemma-4-31b-it,deepinfra-fp4,4,1,19,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
d26e4a61,google/gemma-4-31b-it,deepinfra-fp4,5,1,0,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
10593dda,google/gemma-4-31b-it,deepinfra-fp4,4,1,5,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
ccfc61da,google/gemma-4-31b-it,deepinfra-fp4,4,1,17,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
4fe98baf,google/gemma-4-31b-it,deepinfra-fp4,4,1,16,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
43db8f95,google/gemma-4-31b-it,deepinfra-fp4,5,1,2,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
58958851,google/gemma-4-31b-it,deepinfra-fp4,5,1,1,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
ade019e0,google/gemma-4-31b-it,deepinfra-fp4,5,1,3,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
adfc9f85,google/gemma-4-31b-it,deepinfra-fp4,5,1,11,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
8752f039,google/gemma-4-31b-it,deepinfra-fp4,5,1,7,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
1e70d492,google/gemma-4-31b-it,deepinfra-fp4,5,1,5,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
2a43fcaa,google/gemma-4-31b-it,deepinfra-fp4,5,1,12,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
5c546417,google/gemma-4-31b-it,deepinfra-fp4,5,1,4,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
2ef09c27,google/gemma-4-31b-it,deepinfra-fp4,5,1,13,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
0396b3d1,google/gemma-4-31b-it,deepinfra-fp4,5,1,16,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
be16040b,google/gemma-4-31b-it,deepinfra-fp4,5,1,8,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
78da8bb7,google/gemma-4-31b-it,deepinfra-fp4,5,1,10,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
685e1f01,google/gemma-4-31b-it,deepinfra-fp4,5,1,17,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
3c550abb,google/gemma-4-31b-it,deepinfra-fp4,5,1,14,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
54fb621b,google/gemma-4-31b-it,deepinfra-fp4,5,1,15,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
37af0e53,google/gemma-4-31b-it,deepinfra-fp4,5,1,9,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
fd1311ed,google/gemma-4-31b-it,deepinfra-fp8,3,1,0,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
f8e5a282,google/gemma-4-31b-it,deepinfra-fp4,5,1,19,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
6e12164d,google/gemma-4-31b-it,deepinfra-fp8,3,1,2,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
22ad61d7,google/gemma-4-31b-it,deepinfra-fp8,3,1,1,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
d8da6b9b,google/gemma-4-31b-it,deepinfra-fp8,3,1,3,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
6b3e384b,google/gemma-4-31b-it,deepinfra-fp8,3,1,4,True,True,False,False,miss,2528,1,0,0.00068332,DeepInfra,
69eb5e31,google/gemma-4-31b-it,deepinfra-fp4,5,1,18,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
fb30e437,google/gemma-4-31b-it,deepinfra-fp8,3,1,5,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
ae8d507a,google/gemma-4-31b-it,deepinfra-fp8,3,1,6,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
534f495a,google/gemma-4-31b-it,deepinfra-fp8,3,1,8,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
3e90a3db,google/gemma-4-31b-it,deepinfra-fp8,3,1,7,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
53f8dfeb,google/gemma-4-31b-it,deepinfra-fp8,3,1,9,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
d2812e67,google/gemma-4-31b-it,deepinfra-fp8,3,1,11,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
834acb8b,google/gemma-4-31b-it,deepinfra-fp8,3,1,15,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
2d8ae500,google/gemma-4-31b-it,deepinfra-fp8,3,1,13,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
41480bde,google/gemma-4-31b-it,deepinfra-fp8,3,1,12,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
bdab6e4d,google/gemma-4-31b-it,deepinfra-fp8,3,1,10,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
828348fe,google/gemma-4-31b-it,deepinfra-fp8,3,1,16,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
8dbaf0cc,google/gemma-4-31b-it,deepinfra-fp8,3,1,14,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
4b3f04b8,google/gemma-4-31b-it,deepinfra-fp8,3,1,17,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
215cd0e0,google/gemma-4-31b-it,deepinfra-fp8,3,1,18,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
8a18c381,google/gemma-4-31b-it,deepinfra-fp8,3,1,19,False,False,False,False,correct_rejection,2528,1,0,0.00068332,DeepInfra,
6d08f99e,google/gemma-4-31b-it,deepinfra-fp8,4,1,0,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
3fab7fe3,google/gemma-4-31b-it,deepinfra-fp8,4,1,1,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
9502066f,google/gemma-4-31b-it,deepinfra-fp8,4,1,2,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
ef906d82,google/gemma-4-31b-it,deepinfra-fp8,4,1,3,True,True,True,True,hit,2528,1,0,0.00068332,DeepInfra,
