n_frames,rep,model,response,prompt_tokens,completion_tokens,cost,error
1,0,google/gemma-4-31b-it,A white plus sign is centered on a black background.,96,12,8.4e-05,
1,1,google/gemma-4-31b-it,A small white cross is centered against a solid black background.,96,13,8.5e-05,
2,0,google/gemma-4-31b-it,A small white plus sign is centered against a solid black background.,171,14,2.186e-05,
2,1,google/gemma-4-31b-it,A small white plus sign is centered against a solid black background.,169,14,0.00014075,
3,0,google/gemma-4-31b-it,A small white cross is centered against a solid black background.,242,13,0.0001945,
3,1,google/gemma-4-31b-it,A white plus sign is centered on a black background.,242,12,0.0001935,
4,0,google/gemma-4-31b-it,A white plus sign is centered against a black background.,315,12,0.00024825,
4,1,google/gemma-4-31b-it,A small white cross is centered on a black background.,317,12,3.578e-05,
5,0,google/gemma-4-31b-it,A white cross is centered against a black background.,388,11,0.000302,
5,1,google/gemma-4-31b-it,A white plus sign is centered against a black background.,388,12,0.000303,
6,0,google/gemma-4-31b-it,A white plus sign is centered on a black background.,461,12,0.00035775,
6,1,google/gemma-4-31b-it,A small white cross is centered against a solid black background.,461,13,0.00035875,
7,0,google/gemma-4-31b-it,A small white cross is centered on a black background.,534,12,0.0004125,
7,1,google/gemma-4-31b-it,A small white plus sign is centered against a solid black background.,534,14,0.0004145,
8,0,google/gemma-4-31b-it,A small white cross moves across a black background.,607,11,0.00046625,
8,1,google/gemma-4-31b-it,A small white cross is centered on a black background.,609,12,6.498e-05,
9,0,google/gemma-4-31b-it,A small white plus sign moves across a black background.,680,12,0.000522,
9,1,google/gemma-4-31b-it,A small white plus sign is centered on a solid black background.,682,14,7.296e-05,
10,0,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background.,753,13,0.00057775,
10,1,google/gemma-4-31b-it,A small white plus sign moves across a black background.,753,12,0.00057675,
11,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background.,826,12,0.0006315,
11,1,google/gemma-4-31b-it,A white plus sign moves across a black background.,826,11,0.0006305,
12,0,google/gemma-4-31b-it,A small white plus sign moves slowly across a black background.,899,13,0.00068725,
12,1,google/gemma-4-31b-it,A small white cross moves across a black background.,901,11,9.384e-05,
13,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background.,972,12,0.000741,
13,1,google/gemma-4-31b-it,A small white plus sign moves slowly across a black background.,972,13,0.000742,
14,0,google/gemma-4-31b-it,A white cross moves diagonally across a black screen from the upper left to the center.,1045,18,0.00080175,
14,1,google/gemma-4-31b-it,A white plus sign moves across a black background.,1045,11,0.00079475,
15,0,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background.,1118,13,0.0008515,
15,1,google/gemma-4-31b-it,A white plus sign moves across a black background.,1118,11,0.00014974,
16,0,google/gemma-4-31b-it,A small white plus sign moves slowly across a black background from left to right.,1191,17,0.00091025,
16,1,google/gemma-4-31b-it,A white plus sign moves diagonally from the top-left to the bottom-right against a black background.,1191,22,0.00091525,
17,0,google/gemma-4-31b-it,A small white cross moves across a black screen from left to right.,1264,15,0.000963,
17,1,google/gemma-4-31b-it,A small white cross moves diagonally across a black background from the top left to the bottom right.,1264,20,0.000968,
18,0,google/gemma-4-31b-it,A small white cross moves diagonally across a black background.,1337,12,0.00101475,
18,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the upper left to the lower right across a black background.,1337,21,0.00102375,
19,0,google/gemma-4-31b-it,A small white cross moves diagonally across a black background from the upper left to the lower right.,1410,20,0.0010775,
19,1,google/gemma-4-31b-it,A white cross moves diagonally across a black background from the top-left to the bottom-right.,1410,21,0.0010785,
20,0,google/gemma-4-31b-it,A small white cross moves diagonally across a black background from the middle-left to the bottom-right.,1485,22,0.00015598,
20,1,google/gemma-4-31b-it,A white plus sign moves across a black background.,1485,11,0.00015224,
21,0,google/gemma-4-31b-it,A white plus sign moves diagonally from the upper-left to the lower-right against a black background.,1556,22,0.001189,
21,1,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background from the upper-left towards the lower-right.,1558,23,0.00016362,
22,0,google/gemma-4-31b-it,A small white plus sign moves diagonally from the upper left toward the lower right against a black background.,1629,21,0.00124275,
22,1,google/gemma-4-31b-it,A small white cross moves diagonally from the center-left to the bottom-right against a black background.,1631,22,0.00017058,
23,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the upper left toward the lower right.,1702,20,0.0012965,
23,1,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background.,1702,12,0.0012885,
24,0,google/gemma-4-31b-it,A small white cross moves diagonally across a black screen from the top left to the bottom right.,1775,20,0.00135125,
24,1,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background from the upper left to the lower right.,1775,21,0.00135225,
25,0,google/gemma-4-31b-it,A small white cross moves horizontally across a black background.,1848,12,0.001398,
25,1,google/gemma-4-31b-it,A white plus sign moves diagonally from the top-left to the bottom-right against a black background.,1848,22,0.001408,
26,0,google/gemma-4-31b-it,A small white cross moves from left to right across a black background.,1921,15,0.00145575,
26,1,google/gemma-4-31b-it,A small white plus sign moves from the left to the right side of a black screen.,1921,19,0.00025733,
27,0,google/gemma-4-31b-it,A small white cross moves diagonally from the top-left toward the bottom-right of a black background.,1994,22,0.0015175,
27,1,google/gemma-4-31b-it,A white cross moves diagonally across a black background.,1994,11,0.0015065,
28,0,google/gemma-4-31b-it,A white plus sign moves horizontally across a black background.,2067,12,0.00156225,
28,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the top-left to the bottom-right against a black background.,2067,23,0.00157325,
29,0,google/gemma-4-31b-it,A small white plus sign moves horizontally across a black background.,2140,13,0.001618,
29,1,google/gemma-4-31b-it,A small white cross moves diagonally from the upper left to the lower right against a black background.,2140,20,0.001625,
30,0,google/gemma-4-31b-it,A small white plus sign moves diagonally from the left side of a black screen to the right.,2215,20,0.0002283,
30,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the top-left toward the bottom-right on a black background.,2213,23,0.00168275,
31,0,google/gemma-4-31b-it,A small white cross moves horizontally across a black background from left to right.,2286,16,0.0017305,
31,1,google/gemma-4-31b-it,A white plus sign moves diagonally from the center left towards the bottom right on a black background.,2288,20,0.0002356,
32,0,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background.,2359,13,0.00031187,
32,1,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the top left to the bottom right.,2359,20,0.00178925,
33,0,google/gemma-4-31b-it,A small white plus sign moves across a black screen from left to right.,2359,16,0.00031307,
33,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the top left to the bottom right across a black background.,2359,21,0.00179025,
34,0,google/gemma-4-31b-it,A small white plus sign moves diagonally from the upper-left to the lower-right against a black background before disappearing.,2359,25,0.00179425,
34,1,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background from the upper left towards the lower right.,2359,21,0.00179025,
35,0,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black screen from the upper left to the lower right before disappearing.,2359,23,0.00179225,
35,1,google/gemma-4-31b-it,A white cross moves diagonally across a black background from the upper left towards the lower right.,2361,19,0.00024256,
36,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black screen from the top left to the bottom right before disappearing.,2359,22,0.00179125,
36,1,google/gemma-4-31b-it,A small white cross moves diagonally from the upper left to the lower right against a black background.,2359,20,0.00178925,
37,0,google/gemma-4-31b-it,A small white cross moves diagonally across a black background from the upper left to the lower right before disappearing.,2359,22,0.00179125,
37,1,google/gemma-4-31b-it,A small white cross moves diagonally across a black screen from the top left to the bottom right.,2359,20,0.00178925,
38,0,google/gemma-4-31b-it,A small white cross moves diagonally from the top-left to the bottom-right against a black background.,2359,22,0.00179125,
