trial_id,model,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
0559d000,google/gemma-4-31b-it,3,1,32,True,True,True,True,hit,2531,506,501,0.00240425,ModelRun,
049d46ce,google/gemma-4-31b-it,3,1,46,True,True,True,True,hit,2531,574,569,0.00247225,ModelRun,
0519fe98,google/gemma-4-31b-it,3,1,12,True,True,True,True,hit,2531,363,358,0.00226125,ModelRun,
02f5f755,google/gemma-4-31b-it,3,1,15,False,False,False,False,correct_rejection,2531,531,526,0.00242925,ModelRun,
19ce6561,google/gemma-4-31b-it,3,1,204,True,True,True,True,hit,2531,784,779,0.00268225,ModelRun,
180ccd70,google/gemma-4-31b-it,3,1,277,False,False,True,True,false_alarm,2531,837,832,0.00273525,ModelRun,
00cb81ad,google/gemma-4-31b-it,3,1,42,True,True,True,True,hit,2531,832,827,0.00273025,ModelRun,
2438d3ec,google/gemma-4-31b-it,3,1,34,True,True,True,True,hit,2531,491,486,0.00238925,ModelRun,
1a3937d4,google/gemma-4-31b-it,3,1,28,True,True,True,True,hit,2531,1052,1047,0.00295025,ModelRun,
191e0918,google/gemma-4-31b-it,3,1,3,False,False,False,False,correct_rejection,2531,1059,1054,0.00295725,ModelRun,
16aac377,google/gemma-4-31b-it,3,1,22,True,True,True,True,hit,2531,1121,1116,0.00301925,ModelRun,
036b47a5,google/gemma-4-31b-it,3,1,126,True,True,False,False,miss,2531,1355,1350,0.00325325,ModelRun,
0ffaf5e6,google/gemma-4-31b-it,3,1,148,True,True,True,True,hit,2531,1234,1229,0.00313225,ModelRun,
0f5e8586,google/gemma-4-31b-it,3,1,44,True,True,True,True,hit,2531,1342,1337,0.00324025,ModelRun,
22f013ce,google/gemma-4-31b-it,3,1,27,False,False,False,False,correct_rejection,2531,1576,1571,0.00347425,ModelRun,
2a0ae289,google/gemma-4-31b-it,3,1,60,True,True,False,False,miss,2531,1153,1148,0.00305125,ModelRun,
1fca7ed2,google/gemma-4-31b-it,3,1,53,False,False,True,True,false_alarm,2531,1751,1746,0.00364925,ModelRun,
1abfc331,google/gemma-4-31b-it,3,1,123,False,False,False,False,correct_rejection,2531,1852,1847,0.00375025,ModelRun,
1d297202,google/gemma-4-31b-it,3,1,150,True,True,True,True,hit,2531,2703,2698,0.00460125,ModelRun,
31e02d7c,google/gemma-4-31b-it,3,1,20,True,True,True,True,hit,2531,1716,1711,0.00361425,ModelRun,
40a9e9bd,google/gemma-4-31b-it,3,1,31,False,False,False,False,correct_rejection,2531,442,437,0.00234025,ModelRun,
677d5166,google/gemma-4-31b-it,3,1,1,False,False,False,False,correct_rejection,2531,1008,1003,0.00290625,ModelRun,
5e8d5311,google/gemma-4-31b-it,3,1,56,True,True,True,True,hit,2531,998,993,0.00289625,ModelRun,
502e5472,google/gemma-4-31b-it,3,1,2,True,True,True,True,hit,2531,690,685,0.00258825,ModelRun,
5bbb9735,google/gemma-4-31b-it,3,1,38,True,True,True,True,hit,2531,633,628,0.00253125,ModelRun,
4cc6b80a,google/gemma-4-31b-it,3,1,43,False,False,False,False,correct_rejection,2531,823,818,0.00272125,ModelRun,
417daed4,google/gemma-4-31b-it,3,1,66,True,True,True,True,hit,2531,868,863,0.00276625,ModelRun,
474c5bb4,google/gemma-4-31b-it,3,1,35,False,False,False,False,correct_rejection,2531,890,885,0.00278825,ModelRun,
372f824e,google/gemma-4-31b-it,3,1,136,True,True,False,False,miss,2531,1083,1078,0.00298125,ModelRun,
5353ce60,google/gemma-4-31b-it,3,1,21,False,False,False,False,correct_rejection,2531,1049,1044,0.00294725,ModelRun,
45cedc41,google/gemma-4-31b-it,3,1,48,True,True,False,False,miss,2531,1146,1141,0.00304425,ModelRun,
699104e6,google/gemma-4-31b-it,3,1,62,True,True,True,True,hit,2531,664,659,0.00256225,ModelRun,
61943f1c,google/gemma-4-31b-it,3,1,4,True,True,True,True,hit,2531,1553,1548,0.00345125,ModelRun,
3f286db0,google/gemma-4-31b-it,3,1,36,True,True,True,True,hit,2531,1452,1447,0.00335025,ModelRun,
72e383ba,google/gemma-4-31b-it,3,1,99,False,False,True,True,false_alarm,2531,767,762,0.00266525,ModelRun,
60cb71fb,google/gemma-4-31b-it,3,1,51,False,False,False,False,correct_rejection,2531,1588,1583,0.00348625,ModelRun,
3443dd9a,google/gemma-4-31b-it,3,1,25,False,False,False,False,correct_rejection,2531,1718,1713,0.00361625,ModelRun,
6c4b41be,google/gemma-4-31b-it,3,1,319,False,False,False,False,correct_rejection,2531,1492,1487,0.00339025,ModelRun,
70d08218,google/gemma-4-31b-it,3,1,33,False,False,False,False,correct_rejection,2531,1785,1780,0.00368325,ModelRun,
345712e3,google/gemma-4-31b-it,3,1,45,False,False,False,False,correct_rejection,2531,2697,2692,0.00459525,ModelRun,
849ab4a7,google/gemma-4-31b-it,3,1,6,True,True,True,True,hit,2531,454,449,0.00235225,ModelRun,
79322dac,google/gemma-4-31b-it,3,1,17,False,False,False,False,correct_rejection,2531,645,640,0.00254325,ModelRun,
762adc41,google/gemma-4-31b-it,3,1,172,True,True,True,True,hit,2531,730,725,0.00262825,ModelRun,
91c0c24e,google/gemma-4-31b-it,3,1,49,False,False,False,False,correct_rejection,2531,928,923,0.00282625,ModelRun,
933ece14,google/gemma-4-31b-it,3,1,14,True,True,True,True,hit,2531,989,984,0.00288725,ModelRun,
9672f2f0,google/gemma-4-31b-it,3,1,16,True,True,True,True,hit,2531,861,856,0.00275925,ModelRun,
9233c3d3,google/gemma-4-31b-it,3,1,157,False,False,False,False,correct_rejection,2531,841,836,0.00273925,ModelRun,
739deeba,google/gemma-4-31b-it,3,1,8,True,True,True,True,hit,2531,1190,1185,0.00308825,ModelRun,
8756c33d,google/gemma-4-31b-it,3,1,169,False,False,False,False,correct_rejection,2531,879,874,0.00277725,ModelRun,
88ca226e,google/gemma-4-31b-it,3,1,94,True,True,True,True,hit,2531,964,959,0.00286225,ModelRun,
97f07ac4,google/gemma-4-31b-it,3,1,5,False,False,False,False,correct_rejection,2531,474,469,0.00237225,ModelRun,
74fca898,google/gemma-4-31b-it,3,1,41,False,False,False,False,correct_rejection,2531,1198,1193,0.00309625,ModelRun,
811f6986,google/gemma-4-31b-it,3,1,64,True,True,True,True,hit,2531,1192,1187,0.00309025,ModelRun,
9a094872,google/gemma-4-31b-it,3,1,54,True,True,True,True,hit,2531,915,910,0.00281325,ModelRun,
79f800d2,google/gemma-4-31b-it,3,1,216,True,True,False,False,miss,2531,1653,1648,0.00355125,ModelRun,
9af6427a,google/gemma-4-31b-it,3,1,349,False,False,False,False,correct_rejection,2531,879,874,0.00277725,ModelRun,
9b1a7628,google/gemma-4-31b-it,3,1,11,False,False,False,False,correct_rejection,2531,977,972,0.00287525,ModelRun,
7435a070,google/gemma-4-31b-it,3,1,208,True,True,False,False,miss,2531,2139,2134,0.00403725,ModelRun,
765d8e76,google/gemma-4-31b-it,3,1,59,False,False,False,False,correct_rejection,2531,2284,2279,0.00418225,ModelRun,
8428a800,google/gemma-4-31b-it,3,1,13,False,False,False,False,correct_rejection,2531,2494,2489,0.00439225,ModelRun,
aa3bedce,google/gemma-4-31b-it,3,1,163,False,False,False,False,correct_rejection,2531,522,517,0.00242025,ModelRun,
a13e56e3,google/gemma-4-31b-it,3,1,166,True,True,True,True,hit,2531,562,557,0.00246025,ModelRun,
ada6e491,google/gemma-4-31b-it,3,1,347,False,False,True,True,false_alarm,2531,1051,1046,0.00294925,ModelRun,
a231f699,google/gemma-4-31b-it,3,1,37,False,False,False,False,correct_rejection,2531,776,771,0.00267425,ModelRun,
aeeb1ed3,google/gemma-4-31b-it,3,1,196,True,True,True,True,hit,2531,733,728,0.00263125,ModelRun,
b7ac4772,google/gemma-4-31b-it,3,1,10,True,True,True,True,hit,2531,1106,1101,0.00300425,ModelRun,
b9aad053,google/gemma-4-31b-it,3,1,58,True,True,True,True,hit,2531,994,989,0.00289225,ModelRun,
b6187312,google/gemma-4-31b-it,3,1,251,False,False,True,True,false_alarm,2531,1020,1015,0.00291825,ModelRun,
be5475fb,google/gemma-4-31b-it,3,1,47,False,False,False,False,correct_rejection,2531,437,432,0.00233525,ModelRun,
9b67b867,google/gemma-4-31b-it,3,1,301,False,False,False,False,correct_rejection,2531,1038,1033,0.00293625,ModelRun,
b7586b8c,google/gemma-4-31b-it,3,1,52,True,True,True,True,hit,2531,1348,1343,0.00324625,ModelRun,
a1838820,google/gemma-4-31b-it,3,1,19,False,False,False,False,correct_rejection,2531,1347,1342,0.00324525,ModelRun,
9c12864e,google/gemma-4-31b-it,3,1,26,True,True,True,True,hit,2531,1313,1308,0.00321125,ModelRun,
9ebb6e72,google/gemma-4-31b-it,3,1,122,True,True,True,True,hit,2531,1342,1337,0.00324025,ModelRun,
9f15865a,google/gemma-4-31b-it,3,1,257,False,False,False,False,correct_rejection,2531,1534,1529,0.00343225,ModelRun,
ad364fc3,google/gemma-4-31b-it,3,1,50,True,True,True,True,hit,2531,1661,1656,0.00355925,ModelRun,
d575df2a,google/gemma-4-31b-it,3,1,23,False,False,False,False,correct_rejection,2531,772,767,0.00267025,ModelRun,
d3e405f0,google/gemma-4-31b-it,3,1,0,True,True,True,True,hit,2531,1069,1064,0.00296725,ModelRun,
c71f6bc7,google/gemma-4-31b-it,3,1,253,False,False,False,False,correct_rejection,2531,1237,1232,0.00313525,ModelRun,
9ce1ec14,google/gemma-4-31b-it,3,1,9,False,False,False,False,correct_rejection,2531,2291,2286,0.00418925,ModelRun,
f065a484,google/gemma-4-31b-it,3,1,55,False,False,False,False,correct_rejection,2531,644,639,0.00254225,ModelRun,
e11d3fb1,google/gemma-4-31b-it,3,1,72,True,True,True,True,hit,2531,596,591,0.00249425,ModelRun,
f16be4bc,google/gemma-4-31b-it,3,1,24,True,True,True,True,hit,2531,746,741,0.00264425,ModelRun,
