trial_id,model,seed,n_circles,n_cued,fps,speed_px_s,cued_letters,predicted_letters,exact_match,correct_count,precision,recall,error
8565a7bd,qwen/qwen3.5-flash-02-23,0,4,1,2,140.0,B,A,False,True,0.0,0.0,
d2303af9,qwen/qwen3.5-flash-02-23,9,4,1,1,140.0,C,B,False,True,0.0,0.0,
5a40ae7b,qwen/qwen3.5-flash-02-23,7,4,1,1,140.0,D,C,False,True,0.0,0.0,
fb30519a,qwen/qwen3.5-flash-02-23,2,4,1,2,140.0,C,B,False,True,0.0,0.0,
44168627,qwen/qwen3.5-flash-02-23,4,4,1,2,140.0,C,C,True,True,1.0,1.0,
e4a4097d,qwen/qwen3.5-flash-02-23,5,4,1,1,140.0,B,"A,B,C,D",False,False,0.25,1.0,
8e97ec1d,qwen/qwen3.5-flash-02-23,1,4,1,2,140.0,B,B,True,True,1.0,1.0,
3538f69c,qwen/qwen3.5-flash-02-23,6,4,1,2,140.0,B,A,False,True,0.0,0.0,
6f7ead98,qwen/qwen3.5-flash-02-23,5,4,1,2,140.0,B,D,False,True,0.0,0.0,
a6b39645,qwen/qwen3.5-flash-02-23,3,4,1,2,140.0,C,B,False,True,0.0,0.0,
2af75cf2,qwen/qwen3.5-flash-02-23,8,4,1,2,140.0,A,A,True,True,1.0,1.0,
31364f85,qwen/qwen3.5-flash-02-23,9,4,1,2,140.0,C,B,False,True,0.0,0.0,
59f3e43d,qwen/qwen3.5-flash-02-23,0,4,1,4,140.0,B,A,False,True,0.0,0.0,
1777325c,qwen/qwen3.5-flash-02-23,7,4,1,2,140.0,D,C,False,True,0.0,0.0,
bebf8223,qwen/qwen3.5-flash-02-23,1,4,1,4,140.0,B,B,True,True,1.0,1.0,
593c8d90,qwen/qwen3.5-flash-02-23,2,4,1,4,140.0,C,D,False,True,0.0,0.0,
15bb21ac,qwen/qwen3.5-flash-02-23,3,4,1,4,140.0,C,B,False,True,0.0,0.0,
ea4bd28d,qwen/qwen3.5-flash-02-23,5,4,1,4,140.0,B,D,False,True,0.0,0.0,
6193302b,qwen/qwen3.5-flash-02-23,6,4,1,4,140.0,B,A,False,True,0.0,0.0,
63c06f43,qwen/qwen3.5-flash-02-23,4,4,1,4,140.0,C,C,True,True,1.0,1.0,
b79a85e3,qwen/qwen3.5-flash-02-23,7,4,1,4,140.0,D,C,False,True,0.0,0.0,
475209f9,qwen/qwen3.5-flash-02-23,0,4,1,8,140.0,B,A,False,True,0.0,0.0,
a7242e9c,qwen/qwen3.5-flash-02-23,9,4,1,4,140.0,C,B,False,True,0.0,0.0,
10e94372,qwen/qwen3.5-flash-02-23,8,4,1,4,140.0,A,C,False,True,0.0,0.0,
f8525f08,qwen/qwen3.5-flash-02-23,2,4,1,8,140.0,C,B,False,True,0.0,0.0,
8ad2d575,qwen/qwen3.5-flash-02-23,3,4,1,8,140.0,C,B,False,True,0.0,0.0,
107dd0d0,qwen/qwen3.5-flash-02-23,1,4,1,8,140.0,B,D,False,True,0.0,0.0,
e865be8b,qwen/qwen3.5-flash-02-23,5,4,1,8,140.0,B,D,False,True,0.0,0.0,
8d37db8d,qwen/qwen3.5-flash-02-23,4,4,1,8,140.0,C,D,False,True,0.0,0.0,
10e7d7cf,qwen/qwen3.5-flash-02-23,6,4,1,8,140.0,B,D,False,True,0.0,0.0,
8e1d3d49,qwen/qwen3.5-flash-02-23,0,4,1,24,140.0,B,A,False,True,0.0,0.0,
35a1a966,qwen/qwen3.5-flash-02-23,7,4,1,8,140.0,D,C,False,True,0.0,0.0,
a8223799,qwen/qwen3.5-flash-02-23,8,4,1,8,140.0,A,C,False,True,0.0,0.0,
e6710550,qwen/qwen3.5-flash-02-23,9,4,1,8,140.0,C,B,False,True,0.0,0.0,
e15fc57f,qwen/qwen3.5-flash-02-23,1,4,1,24,140.0,B,B,True,True,1.0,1.0,
10d16996,qwen/qwen3.5-flash-02-23,4,4,1,24,140.0,C,C,True,True,1.0,1.0,
f1b22302,qwen/qwen3.5-flash-02-23,3,4,1,24,140.0,C,C,True,True,1.0,1.0,
6cc594f7,qwen/qwen3.5-flash-02-23,6,4,1,24,140.0,B,A,False,True,0.0,0.0,
d6066517,qwen/qwen3.5-flash-02-23,5,4,1,24,140.0,B,D,False,True,0.0,0.0,
06ab4ef7,qwen/qwen3.5-flash-02-23,9,4,1,24,140.0,C,B,False,True,0.0,0.0,
0da2f6e1,qwen/qwen3.5-flash-02-23,2,4,1,24,140.0,C,"A,B,C,D",False,False,0.25,1.0,
0ed06b02,qwen/qwen3.5-flash-02-23,8,4,1,24,140.0,A,C,False,True,0.0,0.0,
a8eb8da0,qwen/qwen3.5-flash-02-23,7,4,1,24,140.0,D,C,False,True,0.0,0.0,
e4cc6e52,qwen/qwen3.5-flash-02-23,3,4,1,1,140.0,C,C,True,True,1.0,1.0,
c831762c,qwen/qwen3.5-flash-02-23,1,4,1,1,140.0,B,D,False,True,0.0,0.0,
ae66a159,qwen/qwen3.5-flash-02-23,2,4,1,1,140.0,C,B,False,True,0.0,0.0,
7b15607c,qwen/qwen3.5-flash-02-23,0,4,1,1,140.0,B,A,False,True,0.0,0.0,
35817511,qwen/qwen3.5-flash-02-23,4,4,1,1,140.0,C,C,True,True,1.0,1.0,
97f571fe,qwen/qwen3.5-flash-02-23,8,4,1,1,140.0,A,B,False,True,0.0,0.0,
1c3dd334,qwen/qwen3.5-flash-02-23,6,4,1,1,140.0,B,"A,B,C,D,S",False,False,0.2,1.0,
