trial_id,model,rotation_deg,variant,n_objects,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
94e0fb67,google/gemma-4-31b-it,45.0,native,4,5,True,True,True,True,hit,2543,2,0,0.00025498,
94fefd5b,google/gemma-4-31b-it,45.0,native,4,1,True,True,True,True,hit,2543,2,0,0.00025498,
3b99d014,google/gemma-4-31b-it,45.0,native,4,0,True,True,True,True,hit,2543,2,0,0.00025498,
da2e66db,google/gemma-4-31b-it,45.0,native,4,3,True,True,True,True,hit,2543,2,0,0.00025498,
d21bc160,google/gemma-4-31b-it,45.0,native,4,2,True,True,True,True,hit,2543,2,0,0.00025498,
9cf5e1ce,google/gemma-4-31b-it,45.0,native,4,4,True,True,True,True,hit,2543,2,0,0.00025498,
a294d157,google/gemma-4-31b-it,45.0,native,4,6,True,True,False,False,miss,2541,2,0,0.00022937,
c8376ad0,google/gemma-4-31b-it,45.0,native,4,11,False,False,False,False,correct_rejection,2541,2,0,0.00022937,
375619d7,google/gemma-4-31b-it,45.0,native,4,7,True,True,False,False,miss,2541,2,0,0.00022169,
0f9f467f,google/gemma-4-31b-it,45.0,native,4,8,True,True,True,True,hit,2541,2,0,0.00022169,
5964cd35,google/gemma-4-31b-it,45.0,native,4,9,True,True,True,True,hit,2541,2,0,0.00022169,
94736f7c,google/gemma-4-31b-it,45.0,native,4,10,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
813e91bf,google/gemma-4-31b-it,45.0,native,4,12,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
89ea7feb,google/gemma-4-31b-it,45.0,native,4,18,False,False,True,True,false_alarm,2541,2,0,0.00022937,
bac650f6,google/gemma-4-31b-it,45.0,native,4,13,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
ef87d640,google/gemma-4-31b-it,45.0,native,4,14,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
0f7115cf,google/gemma-4-31b-it,45.0,native,4,15,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
c8de9eb8,google/gemma-4-31b-it,45.0,native,4,16,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
eb5dcad6,google/gemma-4-31b-it,45.0,native,4,17,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
62b4f183,google/gemma-4-31b-it,45.0,native,4,19,False,False,True,True,false_alarm,2541,2,0,0.00022169,
8e2ba6aa,google/gemma-4-31b-it,90.0,native,4,0,True,True,True,True,hit,2541,2,0,0.00022937,
151e3a6a,google/gemma-4-31b-it,90.0,native,4,5,True,True,False,False,miss,2541,2,0,0.00022169,
5b789202,google/gemma-4-31b-it,90.0,native,4,3,True,True,False,False,miss,2541,2,0,0.00022169,
08b83422,google/gemma-4-31b-it,90.0,native,4,4,True,True,False,False,miss,2541,2,0,0.00022937,
715c466f,google/gemma-4-31b-it,90.0,native,4,1,True,True,False,False,miss,2543,2,0,0.00025498,
133593fc,google/gemma-4-31b-it,90.0,native,4,2,True,True,False,False,miss,2541,2,0,0.00022169,
fa74f33e,google/gemma-4-31b-it,90.0,native,4,6,True,True,False,False,miss,2541,2,0,0.00022169,
aeb32709,google/gemma-4-31b-it,90.0,native,4,7,True,True,False,False,miss,2541,2,0,0.00022169,
190d0f15,google/gemma-4-31b-it,90.0,native,4,9,True,True,False,False,miss,2541,2,0,0.00022169,
891ee478,google/gemma-4-31b-it,90.0,native,4,10,False,False,False,False,correct_rejection,2541,2,0,0.00022937,
5f86e2ad,google/gemma-4-31b-it,90.0,native,4,11,False,False,False,False,correct_rejection,2541,2,0,0.00022937,
79cd2537,google/gemma-4-31b-it,90.0,native,4,12,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
0248d302,google/gemma-4-31b-it,90.0,native,4,16,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
66cb8bff,google/gemma-4-31b-it,90.0,native,4,13,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
80c186e1,google/gemma-4-31b-it,90.0,native,4,14,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
44e9caa5,google/gemma-4-31b-it,90.0,native,4,15,False,False,False,False,correct_rejection,2543,2,0,0.00025498,
ae00f710,google/gemma-4-31b-it,90.0,native,4,8,True,True,False,False,miss,2541,2,0,0.00022169,
1237ecf4,google/gemma-4-31b-it,90.0,native,4,17,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
62c6ad8f,google/gemma-4-31b-it,90.0,native,4,18,False,False,True,True,false_alarm,2541,2,0,0.00022169,
d25fd177,google/gemma-4-31b-it,90.0,native,4,19,False,False,True,True,false_alarm,2543,2,0,0.00025498,
