trial_id,model,rotation_deg,variant,n_objects,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
1f95d6cc,google/gemma-4-31b-it,40,native,3,5,True,True,False,False,miss,2541,2,0,0.00022937,
a66b8a87,google/gemma-4-31b-it,40,native,3,2,True,True,True,True,hit,2541,2,0,0.00022937,
5e90da65,google/gemma-4-31b-it,40,native,3,3,True,True,True,True,hit,2541,2,0,0.00022937,
42e1e948,google/gemma-4-31b-it,40,native,3,1,True,True,True,True,hit,2541,2,0,0.00022937,
db7ab12d,google/gemma-4-31b-it,40,native,3,4,True,True,True,True,hit,2541,2,0,0.00022169,
6fdbe351,google/gemma-4-31b-it,40,native,3,0,True,True,False,False,miss,2541,2,0,0.00022169,
2122df6d,google/gemma-4-31b-it,40,native,3,10,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
67971406,google/gemma-4-31b-it,40,native,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00022937,
710159eb,google/gemma-4-31b-it,40,native,3,8,True,True,True,True,hit,2541,2,0,0.00022937,
a3a781b7,google/gemma-4-31b-it,40,native,3,13,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
5ff8b48c,google/gemma-4-31b-it,40,native,3,12,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
38511196,google/gemma-4-31b-it,40,native,3,14,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
97e047b6,google/gemma-4-31b-it,40,native,3,15,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
a199dd21,google/gemma-4-31b-it,40,native,3,16,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
187ceb7c,google/gemma-4-31b-it,40,native,3,17,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
40c89744,google/gemma-4-31b-it,40,native,3,18,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
a5d4077f,google/gemma-4-31b-it,40,native,3,6,True,True,True,True,hit,2541,2,0,0.00022937,
6178598d,google/gemma-4-31b-it,40,native,3,7,True,True,True,True,hit,2541,2,0,0.00022169,
a753b0c5,google/gemma-4-31b-it,40,native,3,19,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
76d30f9a,google/gemma-4-31b-it,40,native,3,9,True,True,True,True,hit,2543,2,0,0.00025498,
17b53479,google/gemma-4-31b-it,40,stretched,3,1,True,True,True,True,hit,2541,2,0,0.00022169,
d94f5a07,google/gemma-4-31b-it,40,stretched,3,0,True,True,True,True,hit,2541,2,0,0.00022169,
590fc7b5,google/gemma-4-31b-it,40,stretched,3,2,True,True,True,True,hit,2541,2,0,0.00022169,
b71b89e6,google/gemma-4-31b-it,40,stretched,3,4,True,True,False,False,miss,2541,2,0,0.00022169,
3620037b,google/gemma-4-31b-it,40,stretched,3,3,True,True,False,False,miss,2541,2,0,0.00022169,
d9bea021,google/gemma-4-31b-it,40,stretched,3,6,True,True,True,True,hit,2541,2,0,0.00022169,
8a37a3b8,google/gemma-4-31b-it,40,stretched,3,8,True,True,True,True,hit,2541,2,0,0.00022169,
b5e46529,google/gemma-4-31b-it,40,stretched,3,9,True,True,True,True,hit,2541,2,0,0.00022169,
429ca561,google/gemma-4-31b-it,40,stretched,3,7,True,True,True,True,hit,2541,2,0,0.00022169,
f75a2ef2,google/gemma-4-31b-it,40,stretched,3,5,True,True,True,True,hit,2541,2,0,0.00022169,
fc0cfdec,google/gemma-4-31b-it,40,stretched,3,12,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
7bc0025e,google/gemma-4-31b-it,40,stretched,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00022169,
