trial_id,model,seed,n_circles,n_cued,fps,speed_px_s,cued_letters,predicted_letters,exact_match,correct_count,precision,recall,error
9bed0bb1,qwen/qwen3.5-flash-02-23,0,4,1,24,35.0,B,B,True,True,1.0,1.0,
b8535b6e,qwen/qwen3.5-flash-02-23,2,4,1,24,35.0,C,C,True,True,1.0,1.0,
9d8475bd,qwen/qwen3.5-flash-02-23,1,4,1,24,35.0,B,B,True,True,1.0,1.0,
aa959dfe,qwen/qwen3.5-flash-02-23,3,4,1,24,35.0,C,C,True,True,1.0,1.0,
70083694,qwen/qwen3.5-flash-02-23,8,4,1,24,35.0,A,A,True,True,1.0,1.0,
32a9e06b,qwen/qwen3.5-flash-02-23,4,4,1,24,35.0,C,C,True,True,1.0,1.0,
7bfbfe2d,qwen/qwen3.5-flash-02-23,7,4,1,24,35.0,D,D,True,True,1.0,1.0,
bbff3c5a,qwen/qwen3.5-flash-02-23,1,4,1,24,70.0,B,B,True,True,1.0,1.0,
056088eb,qwen/qwen3.5-flash-02-23,6,4,1,24,35.0,B,B,True,True,1.0,1.0,
e76af158,qwen/qwen3.5-flash-02-23,5,4,1,24,35.0,B,B,True,True,1.0,1.0,
8c74b2c9,qwen/qwen3.5-flash-02-23,9,4,1,24,35.0,C,C,True,True,1.0,1.0,
987a953c,qwen/qwen3.5-flash-02-23,2,4,1,24,70.0,C,C,True,True,1.0,1.0,
05ebd766,qwen/qwen3.5-flash-02-23,0,4,1,24,70.0,B,B,True,True,1.0,1.0,
8fb97240,qwen/qwen3.5-flash-02-23,4,4,1,24,70.0,C,C,True,True,1.0,1.0,
4861583e,qwen/qwen3.5-flash-02-23,7,4,1,24,70.0,D,D,True,True,1.0,1.0,
98953cad,qwen/qwen3.5-flash-02-23,6,4,1,24,70.0,B,B,True,True,1.0,1.0,
29acd126,qwen/qwen3.5-flash-02-23,5,4,1,24,70.0,B,C,False,True,0.0,0.0,
6648ea54,qwen/qwen3.5-flash-02-23,3,4,1,24,70.0,C,C,True,True,1.0,1.0,
d653c01e,qwen/qwen3.5-flash-02-23,0,4,1,24,140.0,B,A,False,True,0.0,0.0,
1aab1f47,qwen/qwen3.5-flash-02-23,8,4,1,24,70.0,A,A,True,True,1.0,1.0,
0ceb9084,qwen/qwen3.5-flash-02-23,2,4,1,24,140.0,C,B,False,True,0.0,0.0,
938dd349,qwen/qwen3.5-flash-02-23,4,4,1,24,140.0,C,C,True,True,1.0,1.0,
d3d5f761,qwen/qwen3.5-flash-02-23,1,4,1,24,140.0,B,B,True,True,1.0,1.0,
bea04671,qwen/qwen3.5-flash-02-23,3,4,1,24,140.0,C,A,False,True,0.0,0.0,
8b0e309c,qwen/qwen3.5-flash-02-23,9,4,1,24,70.0,C,"A,B,C,D",False,False,0.25,1.0,
c9a6e5cb,qwen/qwen3.5-flash-02-23,5,4,1,24,140.0,B,D,False,True,0.0,0.0,
98572692,qwen/qwen3.5-flash-02-23,8,4,1,24,140.0,A,A,True,True,1.0,1.0,
ed770988,qwen/qwen3.5-flash-02-23,7,4,1,24,140.0,D,C,False,True,0.0,0.0,
da70217d,qwen/qwen3.5-flash-02-23,6,4,1,24,140.0,B,D,False,True,0.0,0.0,
f3dfbbb6,qwen/qwen3.5-flash-02-23,2,4,1,24,280.0,C,A,False,True,0.0,0.0,
aa5af2af,qwen/qwen3.5-flash-02-23,9,4,1,24,140.0,C,"A,B,C,D",False,False,0.25,1.0,
6515defd,qwen/qwen3.5-flash-02-23,1,4,1,24,280.0,B,C,False,True,0.0,0.0,
9c3a7dc0,qwen/qwen3.5-flash-02-23,0,4,1,24,280.0,B,A,False,True,0.0,0.0,
9e358e28,qwen/qwen3.5-flash-02-23,4,4,1,24,280.0,C,B,False,True,0.0,0.0,
e084e767,qwen/qwen3.5-flash-02-23,7,4,1,24,280.0,D,B,False,True,0.0,0.0,
9c217df6,qwen/qwen3.5-flash-02-23,6,4,1,24,280.0,B,B,True,True,1.0,1.0,
5a808c1b,qwen/qwen3.5-flash-02-23,8,4,1,24,280.0,A,B,False,True,0.0,0.0,
d82586c8,qwen/qwen3.5-flash-02-23,9,4,1,24,280.0,C,D,False,True,0.0,0.0,
e75a3f74,qwen/qwen3.5-flash-02-23,5,4,1,24,280.0,B,A,False,True,0.0,0.0,
5acfa2cd,qwen/qwen3.5-flash-02-23,3,4,1,24,280.0,C,A,False,True,0.0,0.0,
