trial_id,model,redirect_condition,speed_condition,variant,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
80a701a5,z-ai/glm-5v-turbo,slow,slow,native,3,1,3,True,True,False,False,miss,936,2,0,0.00112736,
5c0cc074,z-ai/glm-5v-turbo,slow,slow,native,3,1,0,True,True,False,False,miss,936,2,0,0.00112736,
c8f00896,z-ai/glm-5v-turbo,slow,slow,native,3,1,2,True,True,False,False,miss,936,2,0,0.00112736,
93d57721,z-ai/glm-5v-turbo,slow,slow,native,3,1,4,True,True,False,False,miss,936,2,0,0.00112736,
c168c25e,z-ai/glm-5v-turbo,slow,slow,native,3,1,1,True,True,True,True,hit,936,2,0,0.00112736,
6c974329,z-ai/glm-5v-turbo,slow,slow,native,3,1,5,True,True,True,True,hit,936,2,0,0.00112736,
bcfa18cb,z-ai/glm-5v-turbo,slow,slow,native,3,1,8,True,True,False,False,miss,936,2,0,0.00112736,
2d9694f5,z-ai/glm-5v-turbo,slow,slow,native,3,1,7,True,True,True,True,hit,936,2,0,0.00112736,
9e09497b,z-ai/glm-5v-turbo,slow,slow,native,3,1,10,False,False,False,False,correct_rejection,936,2,0,0.00112736,
2326db4a,z-ai/glm-5v-turbo,slow,slow,native,3,1,9,True,True,False,False,miss,936,2,0,0.00112736,
473bfeaf,z-ai/glm-5v-turbo,slow,slow,native,3,1,11,False,False,True,True,false_alarm,936,2,0,0.00112736,
e3f17d22,z-ai/glm-5v-turbo,slow,slow,native,3,1,6,True,True,True,True,hit,936,2,0,0.00112736,
66d350a6,z-ai/glm-5v-turbo,slow,slow,native,3,1,17,False,False,False,False,correct_rejection,936,2,0,0.00112736,
56f34e35,z-ai/glm-5v-turbo,slow,slow,native,3,1,14,False,False,True,True,false_alarm,936,2,0,0.00112736,
123e81bc,z-ai/glm-5v-turbo,slow,slow,native,3,1,16,False,False,True,True,false_alarm,936,2,0,0.00112736,
69f81c66,z-ai/glm-5v-turbo,slow,slow,native,3,1,12,False,False,False,False,correct_rejection,936,2,0,0.00112736,
3a2e3866,z-ai/glm-5v-turbo,slow,slow,native,3,1,13,False,False,True,True,false_alarm,936,2,0,0.00112736,
3925ad12,z-ai/glm-5v-turbo,slow,slow,native,3,1,15,False,False,False,False,correct_rejection,936,2,0,0.00112736,
4ade0298,z-ai/glm-5v-turbo,slow,slow,native,3,1,18,False,False,False,False,correct_rejection,936,2,0,0.00112736,
173e10cd,z-ai/glm-5v-turbo,slow,slow,native,3,1,19,False,False,True,True,false_alarm,936,2,0,0.00112736,
151bce8e,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,4,True,True,True,True,hit,3936,2,0,0.00472736,
a3a3381f,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,0,True,True,False,False,miss,3936,2,0,0.00472736,
d5a59d08,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,5,True,True,True,True,hit,3936,2,0,0.00472736,
8d6dfbbd,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,3,True,True,True,True,hit,3936,2,0,0.00472736,
4dd62ace,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,2,True,True,True,True,hit,3936,2,0,0.00472736,
c75902e9,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,1,True,True,False,False,miss,3936,2,0,0.00472736,
2700d833,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,10,False,False,False,False,correct_rejection,3936,2,0,0.00472736,
607451ba,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,12,False,False,False,False,correct_rejection,3936,2,0,0.00472736,
f28ad77b,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,13,False,False,False,False,correct_rejection,3936,2,0,0.00472736,
251a5276,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,14,False,False,True,True,false_alarm,3936,2,0,0.00472736,
3968c067,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,15,False,False,True,True,false_alarm,3936,2,0,0.00472736,
142ab93d,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,16,False,False,False,False,correct_rejection,3936,2,0,0.00472736,
ea15e5b3,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,6,True,True,False,False,miss,3936,2,0,0.00472736,
338e9006,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,11,False,False,True,True,false_alarm,3936,2,0,0.00472736,
80603e78,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,9,True,True,False,False,miss,3936,2,0,0.00472736,
9a3d2093,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,7,True,True,False,False,miss,3936,2,0,0.00472736,
89a45784,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,8,True,True,False,False,miss,3936,2,0,0.00472736,
4d3df047,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,17,False,False,True,True,false_alarm,3936,2,0,0.00472736,
2c3f197d,z-ai/glm-5v-turbo,slow,fast,native,3,1,1,True,True,True,True,hit,936,2,0,0.00112736,
e27de3a6,z-ai/glm-5v-turbo,slow,fast,native,3,1,0,True,True,True,True,hit,936,2,0,0.00112736,
ffea08d2,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,18,False,False,False,False,correct_rejection,3936,2,0,0.00472736,
cb7df93c,z-ai/glm-5v-turbo,slow,fast,native,3,1,2,True,True,False,False,miss,936,2,0,0.00112736,
06d40624,z-ai/glm-5v-turbo,slow,fast,native,3,1,3,True,True,True,True,hit,936,2,0,0.00112736,
38f5049c,z-ai/glm-5v-turbo,slow,fast,native,3,1,4,True,True,False,False,miss,936,2,0,0.00112736,
82a9eae9,z-ai/glm-5v-turbo,slow,fast,native,3,1,5,True,True,False,False,miss,936,2,0,0.00112736,
7ff4105a,z-ai/glm-5v-turbo,slow,slow,stretched,3,1,19,False,False,False,False,correct_rejection,3936,2,0,0.00472736,
5f01792c,z-ai/glm-5v-turbo,slow,fast,native,3,1,9,True,True,False,False,miss,936,2,0,0.00112736,
9e4ba9c7,z-ai/glm-5v-turbo,slow,fast,native,3,1,8,True,True,False,False,miss,936,2,0,0.00112736,
aaf236b9,z-ai/glm-5v-turbo,slow,fast,native,3,1,10,False,False,True,True,false_alarm,936,2,0,0.00112736,
d23065a0,z-ai/glm-5v-turbo,slow,fast,native,3,1,11,False,False,False,False,correct_rejection,936,2,0,0.00112736,
61a918c3,z-ai/glm-5v-turbo,slow,fast,native,3,1,6,True,True,False,False,miss,936,2,0,0.00112736,
4aeab8c5,z-ai/glm-5v-turbo,slow,fast,native,3,1,7,True,True,False,False,miss,936,2,0,0.00112736,
25c12e3e,z-ai/glm-5v-turbo,slow,fast,native,3,1,13,False,False,False,False,correct_rejection,936,2,0,0.00112736,
34ec7b50,z-ai/glm-5v-turbo,slow,fast,native,3,1,15,False,False,False,False,correct_rejection,936,2,0,0.00112736,
98f14b48,z-ai/glm-5v-turbo,slow,fast,native,3,1,16,False,False,True,True,false_alarm,936,2,0,0.00112736,
ff8d478f,z-ai/glm-5v-turbo,slow,fast,native,3,1,14,False,False,False,False,correct_rejection,936,2,0,0.00112736,
c53e7ef9,z-ai/glm-5v-turbo,slow,fast,native,3,1,12,False,False,False,False,correct_rejection,936,2,0,0.00112736,
a4c40051,z-ai/glm-5v-turbo,slow,fast,native,3,1,17,False,False,True,True,false_alarm,936,2,0,0.00112736,
4bedecf9,z-ai/glm-5v-turbo,slow,fast,native,3,1,18,False,False,False,False,correct_rejection,936,2,0,0.00112736,
74053041,z-ai/glm-5v-turbo,slow,fast,native,3,1,19,False,False,False,False,correct_rejection,936,2,0,0.00112736,
5f6075b6,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,3,True,True,False,False,miss,3936,2,0,0.00472736,
c61e973b,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,0,True,True,False,False,miss,3936,2,0,0.00472736,
16a33502,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,5,True,True,True,True,hit,3936,2,0,0.00472736,
49718c9b,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,4,True,True,True,True,hit,3936,2,0,0.00472736,
7782ee34,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,2,True,True,True,True,hit,3936,2,0,0.00472736,
2720e3b8,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,1,True,True,True,True,hit,3936,2,0,0.00472736,
2b3416ae,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,6,True,True,True,True,hit,3936,2,0,0.00472736,
70579643,z-ai/glm-5v-turbo,slow,fast,stretched,3,1,8,True,True,False,False,miss,3936,2,0,0.00472736,
