trial_id,model,host,rotation_deg,n_objects,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
7759ab10,google/gemma-4-31b-it,deepinfra-fp4,40,3,2,True,True,True,True,hit,2541,2,0,0.00022937,DeepInfra,
81a9f482,google/gemma-4-31b-it,deepinfra-fp4,40,3,5,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
5ef4eafc,google/gemma-4-31b-it,deepinfra-fp4,40,3,4,True,True,False,False,miss,2541,2,0,0.00022937,DeepInfra,
ee876bc6,google/gemma-4-31b-it,deepinfra-fp4,40,3,3,True,True,False,False,miss,2541,2,0,0.00022937,DeepInfra,
c0829d00,google/gemma-4-31b-it,deepinfra-fp4,40,3,0,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
92642939,google/gemma-4-31b-it,deepinfra-fp4,40,3,1,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
593c596f,google/gemma-4-31b-it,deepinfra-fp4,40,3,10,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
f336a114,google/gemma-4-31b-it,deepinfra-fp4,40,3,7,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
7c747667,google/gemma-4-31b-it,deepinfra-fp4,40,3,6,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
d4f31081,google/gemma-4-31b-it,deepinfra-fp4,40,3,8,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
db08bfeb,google/gemma-4-31b-it,deepinfra-fp4,40,3,9,True,True,True,True,hit,2541,2,0,0.00022937,DeepInfra,
949dc82f,google/gemma-4-31b-it,deepinfra-fp4,40,3,14,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
ccd3b377,google/gemma-4-31b-it,deepinfra-fp4,40,3,19,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
531f8ab2,google/gemma-4-31b-it,deepinfra-fp4,40,3,17,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
39f6c3f8,google/gemma-4-31b-it,deepinfra-fp4,40,3,15,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
b87a80d1,google/gemma-4-31b-it,deepinfra-fp4,40,3,16,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
e9c61cf1,google/gemma-4-31b-it,deepinfra-fp4,40,3,18,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
3f89e9e9,google/gemma-4-31b-it,deepinfra-fp4,40,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
2ac3641e,google/gemma-4-31b-it,deepinfra-fp4,40,3,12,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
8177f75e,google/gemma-4-31b-it,deepinfra-fp4,40,3,13,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
9255fc78,google/gemma-4-31b-it,deepinfra-fp4,80,3,3,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
873307bd,google/gemma-4-31b-it,deepinfra-fp4,80,3,2,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
d9f127cb,google/gemma-4-31b-it,deepinfra-fp4,80,3,0,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
f8fa5cdb,google/gemma-4-31b-it,deepinfra-fp4,80,3,7,True,True,True,True,hit,2541,2,0,0.00022937,DeepInfra,
7e9eb482,google/gemma-4-31b-it,deepinfra-fp4,80,3,8,True,True,False,False,miss,2541,2,0,0.00022937,DeepInfra,
74d5dab7,google/gemma-4-31b-it,deepinfra-fp4,80,3,1,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
661ef91a,google/gemma-4-31b-it,deepinfra-fp4,80,3,6,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
5bf2821e,google/gemma-4-31b-it,deepinfra-fp4,80,3,4,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
cc7ee6a3,google/gemma-4-31b-it,deepinfra-fp4,80,3,10,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
9142c0d2,google/gemma-4-31b-it,deepinfra-fp4,80,3,13,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
43a1639a,google/gemma-4-31b-it,deepinfra-fp4,80,3,12,False,False,True,True,false_alarm,2541,2,0,0.00022169,DeepInfra,
c5aca80b,google/gemma-4-31b-it,deepinfra-fp4,80,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
48526357,google/gemma-4-31b-it,deepinfra-fp4,80,3,16,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
3ca4a1fd,google/gemma-4-31b-it,deepinfra-fp4,80,3,5,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
71a65a75,google/gemma-4-31b-it,deepinfra-fp4,80,3,9,True,True,True,True,hit,2541,2,0,0.00022169,DeepInfra,
34127a8d,google/gemma-4-31b-it,deepinfra-fp4,80,3,17,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
3367959c,google/gemma-4-31b-it,deepinfra-fp4,80,3,14,False,False,True,True,false_alarm,2541,2,0,0.00022169,DeepInfra,
3f2f21b9,google/gemma-4-31b-it,deepinfra-fp4,80,3,18,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
5ba64683,google/gemma-4-31b-it,deepinfra-fp4,80,3,15,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
2d112ec8,google/gemma-4-31b-it,deepinfra-fp4,80,3,19,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
ea42ddf0,google/gemma-4-31b-it,deepinfra-fp4,120,3,6,True,True,False,False,miss,2541,2,0,0.00022937,DeepInfra,
60b9403c,google/gemma-4-31b-it,deepinfra-fp4,120,3,5,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
d85c6a4d,google/gemma-4-31b-it,deepinfra-fp4,120,3,0,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
f6088b38,google/gemma-4-31b-it,deepinfra-fp4,120,3,1,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
7bf4cf9e,google/gemma-4-31b-it,deepinfra-fp4,120,3,3,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
46504a95,google/gemma-4-31b-it,deepinfra-fp4,120,3,4,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
e000c565,google/gemma-4-31b-it,deepinfra-fp4,120,3,7,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
362d5639,google/gemma-4-31b-it,deepinfra-fp4,120,3,10,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
6c15a3d6,google/gemma-4-31b-it,deepinfra-fp4,120,3,9,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
e7c35c83,google/gemma-4-31b-it,deepinfra-fp4,120,3,12,False,False,True,True,false_alarm,2541,2,0,0.00022169,DeepInfra,
89fe31f1,google/gemma-4-31b-it,deepinfra-fp4,120,3,15,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
d6876661,google/gemma-4-31b-it,deepinfra-fp4,120,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
90c68a8e,google/gemma-4-31b-it,deepinfra-fp4,120,3,13,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
f8e937df,google/gemma-4-31b-it,deepinfra-fp4,120,3,14,False,False,True,True,false_alarm,2541,2,0,0.00022169,DeepInfra,
772411f3,google/gemma-4-31b-it,deepinfra-fp4,120,3,16,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
9df2cf20,google/gemma-4-31b-it,deepinfra-fp4,120,3,8,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
77bfa73b,google/gemma-4-31b-it,deepinfra-fp4,120,3,2,True,True,False,False,miss,2541,2,0,0.00022169,DeepInfra,
bd279089,google/gemma-4-31b-it,deepinfra-fp4,120,3,19,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
7ad839bd,google/gemma-4-31b-it,deepinfra-fp4,120,3,17,False,False,False,False,correct_rejection,2541,2,0,0.00022937,DeepInfra,
a3715a35,google/gemma-4-31b-it,deepinfra-fp4,120,3,18,False,False,False,False,correct_rejection,2541,2,0,0.00022169,DeepInfra,
fc878a0f,google/gemma-4-31b-it,deepinfra-fp8,40,3,0,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
3bd3214e,google/gemma-4-31b-it,deepinfra-fp8,40,3,2,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
f2351dd2,google/gemma-4-31b-it,deepinfra-fp8,40,3,3,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
