trial_id,model,reasoning_level,seed,probe_on_target,probe_is_target,response,predicted,outcome,reasoning_tokens,cost,error
6214eb5f,qwen/qwen3.8-27b,none,2,True,True,False,False,miss,0,0.0053992,
4aea0ff7,qwen/qwen3.8-27b,none,0,True,True,False,False,miss,0,0.0053992,
a43a27e4,qwen/qwen3.8-27b,none,4,True,True,True,True,hit,0,0.0053992,
0f3d6b84,qwen/qwen3.8-27b,none,6,True,True,True,True,hit,0,0.0053992,
7e984c43,qwen/qwen3.8-27b,none,5,True,True,True,True,hit,0,0.0042956,
6b341970,qwen/qwen3.8-27b,none,1,True,True,True,True,hit,0,0.00575912,
61c9c97e,qwen/qwen3.8-27b,none,8,True,True,False,False,miss,0,0.0053992,
cafd377c,qwen/qwen3.8-27b,none,7,True,True,True,True,hit,0,0.0042956,
f23abdce,qwen/qwen3.8-27b,none,3,True,True,False,False,miss,0,0.0053992,
76fcf1fa,qwen/qwen3.8-27b,none,9,True,True,True,True,hit,0,0.0042956,
f64e573c,qwen/qwen3.8-27b,none,10,False,False,False,False,correct_rejection,0,0.0042956,
5a5567cb,qwen/qwen3.8-27b,none,12,False,False,True,True,false_alarm,0,0.0042956,
ed1b381d,qwen/qwen3.8-27b,none,14,False,False,False,False,correct_rejection,0,0.0053992,
e6b2eeb9,qwen/qwen3.8-27b,none,11,False,False,True,True,false_alarm,0,0.0060016,
4c50fd1a,qwen/qwen3.8-27b,none,13,False,False,True,True,false_alarm,0,0.0053992,
599e54f6,qwen/qwen3.8-27b,none,15,False,False,False,False,correct_rejection,0,0.0042956,
a81737c8,qwen/qwen3.8-27b,none,16,False,False,False,False,correct_rejection,0,0.0042956,
3a38b0d8,qwen/qwen3.8-27b,none,17,False,False,True,True,false_alarm,0,0.00575912,
1e69a964,qwen/qwen3.8-27b,none,19,False,False,True,True,false_alarm,0,0.0053992,
c62d24b5,qwen/qwen3.8-27b,none,18,False,False,False,False,correct_rejection,0,0.0053992,
016702d7,qwen/qwen3.8-27b,minimal,1,True,True,"

False",False,miss,217,0.0062342,
b032473b,qwen/qwen3.8-27b,minimal,2,True,True,"

True",True,hit,217,0.0062342,
8a33bd60,qwen/qwen3.8-27b,minimal,4,True,True,"

True",True,hit,914,0.0103302,
3dd229f3,qwen/qwen3.8-27b,minimal,3,True,True,"

True",True,hit,601,0.00930176,
