trial_id,model,host,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
0406fe68,google/gemma-4-31b-it,deepinfra-fp4,4,1,10,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
0969cc3a,google/gemma-4-31b-it,deepinfra-fp4,4,1,455,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
09c7707a,google/gemma-4-31b-it,deepinfra-fp4,4,1,491,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
0a2f685e,google/gemma-4-31b-it,deepinfra-fp4,4,1,12,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
0ae2e913,google/gemma-4-31b-it,deepinfra-fp4,4,1,148,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
0b3c11b2,google/gemma-4-31b-it,deepinfra-fp4,4,1,134,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
0d3be742,google/gemma-4-31b-it,deepinfra-fp4,4,1,50,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
04563566,google/gemma-4-31b-it,deepinfra-fp4,4,1,617,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
07f9b468,google/gemma-4-31b-it,deepinfra-fp4,4,1,34,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
0093e889,google/gemma-4-31b-it,deepinfra-fp4,4,1,43,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
0f227b01,google/gemma-4-31b-it,deepinfra-fp4,4,1,36,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
0e2d114b,google/gemma-4-31b-it,deepinfra-fp4,4,1,20,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
1349d0d0,google/gemma-4-31b-it,deepinfra-fp4,4,1,160,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
13ea8961,google/gemma-4-31b-it,deepinfra-fp4,4,1,46,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
17f6975b,google/gemma-4-31b-it,deepinfra-fp4,4,1,62,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
0e1e7a6c,google/gemma-4-31b-it,deepinfra-fp4,4,1,575,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
1b9bb719,google/gemma-4-31b-it,deepinfra-fp4,4,1,15,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
236eaca3,google/gemma-4-31b-it,deepinfra-fp4,4,1,37,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
26cdf3cc,google/gemma-4-31b-it,deepinfra-fp4,4,1,33,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
28ada0c7,google/gemma-4-31b-it,deepinfra-fp4,4,1,16,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
2b144705,google/gemma-4-31b-it,deepinfra-fp4,4,1,126,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
27488780,google/gemma-4-31b-it,deepinfra-fp4,4,1,122,True,True,False,False,miss,2528,2,0,0.0002282,DeepInfra,
34014035,google/gemma-4-31b-it,deepinfra-fp4,4,1,109,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
3ce66a26,google/gemma-4-31b-it,deepinfra-fp4,4,1,152,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
3511deee,google/gemma-4-31b-it,deepinfra-fp4,4,1,2,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
51a898db,google/gemma-4-31b-it,deepinfra-fp4,4,1,6,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
525119d3,google/gemma-4-31b-it,deepinfra-fp4,4,1,60,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
3f3ee5d3,google/gemma-4-31b-it,deepinfra-fp4,4,1,14,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
5780f8d6,google/gemma-4-31b-it,deepinfra-fp4,4,1,3,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
58ff2493,google/gemma-4-31b-it,deepinfra-fp4,4,1,26,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
5ad3ff58,google/gemma-4-31b-it,deepinfra-fp4,4,1,19,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
171a4811,google/gemma-4-31b-it,deepinfra-fp4,4,1,42,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
194f707e,google/gemma-4-31b-it,deepinfra-fp4,4,1,13,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
5d5c8d2c,google/gemma-4-31b-it,deepinfra-fp4,4,1,539,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
61021ada,google/gemma-4-31b-it,deepinfra-fp4,4,1,18,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
613c57b0,google/gemma-4-31b-it,deepinfra-fp4,4,1,40,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
