trial_id,model,reasoning_level,variant,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
4b11b22a,qwen/qwen3.8-27b,none,native,3,1,2,True,True,False,False,miss,2939,2,0,0.00132895,
a7f2ed49,qwen/qwen3.8-27b,none,native,3,1,3,True,True,True,True,hit,2939,2,0,0.00132895,
c6b4135c,qwen/qwen3.8-27b,none,native,3,1,4,True,True,False,False,miss,2634,2,0,0.0010596,
034b092c,qwen/qwen3.8-27b,none,native,3,1,0,True,True,True,True,hit,2787,2,0,0.001189575,
17e5e6f5,qwen/qwen3.8-27b,none,native,3,1,1,True,True,True,True,hit,2939,2,0,0.00141752,
88299787,qwen/qwen3.8-27b,none,native,3,1,6,True,True,False,False,miss,2634,2,0,0.0010596,
3f11061a,qwen/qwen3.8-27b,none,native,3,1,8,False,False,True,True,false_alarm,2634,2,0,0.0010596,
bef38fb5,qwen/qwen3.8-27b,none,native,3,1,5,True,True,False,False,miss,2787,2,0,0.001189575,
a803182c,qwen/qwen3.8-27b,none,native,3,1,9,False,False,False,False,correct_rejection,2787,2,0,0.001189575,
7d9f1d99,qwen/qwen3.8-27b,none,native,3,1,7,True,True,False,False,miss,2939,2,0,0.00103415,
a738e46f,qwen/qwen3.8-27b,none,native,3,1,10,False,False,True,True,false_alarm,2787,2,0,0.001189575,
0742e122,qwen/qwen3.8-27b,none,native,3,1,11,False,False,True,True,false_alarm,2787,2,0,0.001189575,
6eec9134,qwen/qwen3.8-27b,none,native,3,1,14,False,False,False,False,correct_rejection,2939,2,0,0.0011807,
9d356f40,qwen/qwen3.8-27b,none,native,3,1,13,False,False,False,False,correct_rejection,2939,2,0,0.00103415,
e4760820,qwen/qwen3.8-27b,none,native,3,1,15,False,False,True,True,false_alarm,2939,2,0,0.00103415,
9bd257a9,qwen/qwen3.8-27b,none,stretched,3,1,1,True,True,False,False,miss,7835,2,0,0.00353215,
c7a437ec,qwen/qwen3.8-27b,none,stretched,3,1,0,True,True,False,False,miss,7835,2,0,0.0031391,
002ca927,qwen/qwen3.8-27b,none,stretched,3,1,2,True,True,False,False,miss,7835,2,0,0.00353215,
da234f4f,qwen/qwen3.8-27b,none,stretched,3,1,3,True,True,False,False,miss,2640,2,0,0.001062,
51afd978,qwen/qwen3.8-27b,none,native,3,1,12,False,False,False,False,correct_rejection,2939,2,0,0.00132895,
266d7c85,qwen/qwen3.8-27b,none,stretched,3,1,4,True,True,False,False,miss,7835,2,0,0.0031391,
1738b9ba,qwen/qwen3.8-27b,none,stretched,3,1,7,True,True,False,False,miss,7835,2,0,0.00353215,
eb20e18b,qwen/qwen3.8-27b,none,stretched,3,1,8,False,False,True,True,false_alarm,7395,2,0,0.003147975,
60cdeeb1,qwen/qwen3.8-27b,none,stretched,3,1,5,True,True,False,False,miss,7835,2,0,0.00274775,
d95ec9b3,qwen/qwen3.8-27b,none,stretched,3,1,6,True,True,True,True,hit,7835,2,0,0.00274775,
6ce8797e,qwen/qwen3.8-27b,none,stretched,3,1,9,False,False,False,False,correct_rejection,7395,2,0,0.003147975,
a22a1eb3,qwen/qwen3.8-27b,none,stretched,3,1,10,False,False,False,False,correct_rejection,7395,2,0,0.003147975,
a73ae6fd,qwen/qwen3.8-27b,none,stretched,3,1,11,False,False,True,True,false_alarm,7835,2,0,0.00353215,
99f171bb,qwen/qwen3.8-27b,none,stretched,3,1,12,False,False,False,False,correct_rejection,7835,2,0,0.00274775,
7a3dec1f,qwen/qwen3.8-27b,none,stretched,3,1,13,False,False,True,True,false_alarm,7395,2,0,0.003147975,
c3f124b9,qwen/qwen3.8-27b,none,stretched,3,1,15,False,False,True,True,false_alarm,2640,2,0,0.001062,
c0ab11cb,qwen/qwen3.8-27b,none,stretched,3,1,14,False,False,False,False,correct_rejection,7835,2,0,0.00274775,
8e27cfb7,qwen/qwen3.8-27b,low,native,3,1,1,True,True,"

True",True,hit,2967,925,582,0.00456916,
9b9b0cf8,qwen/qwen3.8-27b,low,native,3,1,3,True,True,"

True",True,hit,2967,944,562,0.00463376,
12118522,qwen/qwen3.8-27b,low,native,3,1,0,True,True,"

True",True,hit,2967,960,0,0.00367845,
09744cb7,qwen/qwen3.8-27b,low,native,3,1,5,True,True,"

True",True,hit,2967,932,614,0.00459296,
95e34a7f,qwen/qwen3.8-27b,low,native,3,1,2,True,True,"

False",False,miss,2662,1360,930,0.0051448,
00a8a114,qwen/qwen3.8-27b,low,native,3,1,7,True,True,"

True",True,hit,2967,1509,815,0.00616395,
88d15c44,qwen/qwen3.8-27b,low,native,3,1,6,True,True,"

True",True,hit,2662,1631,996,0.0059578,
a0f90877,qwen/qwen3.8-27b,low,native,3,1,11,False,False,"

True",True,false_alarm,2967,259,165,0.00216395,
0f937cec,qwen/qwen3.8-27b,low,native,3,1,4,True,True,"

True",True,hit,2967,2029,1119,0.00636075,
fbe2c71d,qwen/qwen3.8-27b,low,native,3,1,8,False,False,"

False",False,correct_rejection,2967,1830,991,0.00719115,
50baed68,qwen/qwen3.8-27b,low,native,3,1,13,False,False,"

False",False,correct_rejection,2967,1161,0,0.0042312,
f67fcd1e,qwen/qwen3.8-27b,low,native,3,1,14,False,False,"

False",False,correct_rejection,2967,1166,678,0.00506635,
d16be4a4,qwen/qwen3.8-27b,low,native,3,1,10,False,False,False,False,correct_rejection,2811,1678,1674,0.005473575,
9094f473,qwen/qwen3.8-27b,low,native,3,1,12,False,False,"

False",False,correct_rejection,2967,1150,653,0.00533416,
08be86ac,qwen/qwen3.8-27b,low,native,3,1,15,False,False,"

False",False,correct_rejection,2967,1641,846,0.00700356,
dabb55dc,qwen/qwen3.8-27b,low,native,3,1,9,False,False,"

False",False,correct_rejection,2967,1243,0,0.0044567,
1d22082e,qwen/qwen3.8-27b,low,stretched,3,1,1,True,True,"

True",True,hit,7863,963,0,0.0054003,
