trial_id,model,n_objects,redirect_condition,speed_condition,variant,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,output_tokens,generation_time_s,error
05f89ee2,google/gemma-4-31b-it-local,3,fast,fast,native,4,True,True,False,False,miss,2528,2,4.513994455337524,
0f26fdb0,google/gemma-4-31b-it-local,3,fast,fast,native,15,False,False,False,False,correct_rejection,2528,2,1.685899019241333,
14439643,google/gemma-4-31b-it-local,3,fast,fast,native,6,True,True,True,True,hit,2528,2,1.694542646408081,
179cf8ce,google/gemma-4-31b-it-local,4,fast,fast,native,18,False,False,False,False,correct_rejection,2528,2,1.6861228942871094,
1878d712,google/gemma-4-31b-it-local,3,fast,fast,native,3,True,True,True,True,hit,2528,2,1.6822969913482666,
18ce0e84,google/gemma-4-31b-it-local,4,fast,fast,native,7,True,True,False,False,miss,2528,2,1.6937496662139893,
1e577a90,google/gemma-4-31b-it-local,4,fast,fast,native,13,False,False,True,True,false_alarm,2528,2,1.6967175006866455,
1edf4ac5,google/gemma-4-31b-it-local,5,fast,fast,native,2,True,True,False,False,miss,2528,2,1.685929298400879,
1ef9d979,google/gemma-4-31b-it-local,3,fast,fast,native,9,True,True,False,False,miss,2528,2,1.699479579925537,
20375f76,google/gemma-4-31b-it-local,3,fast,fast,native,10,False,False,True,True,false_alarm,2528,2,1.6812779903411865,
24c51d7a,google/gemma-4-31b-it-local,4,fast,fast,native,16,False,False,False,False,correct_rejection,2528,2,1.6907157897949219,
24d233c3,google/gemma-4-31b-it-local,3,fast,fast,native,8,True,True,True,True,hit,2528,2,1.6925013065338135,
27515816,google/gemma-4-31b-it-local,4,fast,fast,native,1,True,True,True,True,hit,2528,2,1.6877403259277344,
324202ee,google/gemma-4-31b-it-local,5,fast,fast,native,15,False,False,False,False,correct_rejection,2528,2,1.691072702407837,
35482be7,google/gemma-4-31b-it-local,5,fast,fast,native,17,False,False,False,False,correct_rejection,2528,2,1.6955554485321045,
3cd97e3a,google/gemma-4-31b-it-local,4,fast,fast,native,8,True,True,False,False,miss,2528,2,1.7005629539489746,
41895788,google/gemma-4-31b-it-local,5,fast,fast,native,6,True,True,True,True,hit,2528,2,1.695284128189087,
444e15ea,google/gemma-4-31b-it-local,4,fast,fast,native,9,True,True,True,True,hit,2528,2,1.6960909366607666,
450225e3,google/gemma-4-31b-it-local,5,fast,fast,native,7,True,True,False,False,miss,2528,2,1.7026691436767578,
472e2429,google/gemma-4-31b-it-local,3,fast,fast,native,7,True,True,False,False,miss,2528,2,1.704552173614502,
