trial_id,model,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
008f1a4c,google/gemma-4-31b-it,3,1,36,True,True,True,True,hit,2531,1361,1356,0.00325925,ModelRun,
03059294,google/gemma-4-31b-it,3,1,32,True,True,True,True,hit,2531,912,907,0.00281025,ModelRun,
0513a4d3,google/gemma-4-31b-it,3,1,4,True,True,True,True,hit,2531,1310,1305,0.00320825,ModelRun,
008f1a4c,qwen/qwen3.6-plus,3,1,36,True,True,True,True,hit,7835,4409,4404,0.011143925,Alibaba,
03059294,qwen/qwen3.6-plus,3,1,32,True,True,False,False,miss,7835,6163,6158,0.014564225,Alibaba,
0513a4d3,qwen/qwen3.6-plus,3,1,4,True,True,False,False,miss,7835,5726,5721,0.013712075,Alibaba,
008f1a4c,moonshotai/kimi-k3,3,1,36,True,True,True,True,hit,5348,1048,1032,0.031764,Moonshot AI,
03059294,moonshotai/kimi-k3,3,1,32,True,True,True,True,hit,5348,345,329,0.021219,Moonshot AI,
0513a4d3,moonshotai/kimi-k3,3,1,4,True,True,False,False,miss,5348,767,751,0.0268578,Moonshot AI,
008f1a4c,qwen/qwen3.8-27b,3,1,36,True,True,"

True",True,hit,7833,1394,1390,0.00494672,Parasail,
03059294,qwen/qwen3.8-27b,3,1,32,True,True,"

True",True,hit,769,2400,2396,0.00491535,Darkbloom,
0513a4d3,qwen/qwen3.8-27b,3,1,4,True,True,"

False",False,miss,7833,2183,0,0.00668252,Chutes,
008f1a4c,google/gemini-3.8-flash,3,1,36,True,True,True,True,hit,3381,1693,1692,0.0088845,Google AI Studio,
03059294,google/gemini-3.8-flash,3,1,32,True,True,True,True,hit,3380,1864,1863,0.009525,Google,
0513a4d3,google/gemini-3.8-flash,3,1,4,True,True,True,True,hit,3380,2639,2638,0.01243125,Google,
185b5234,google/gemma-4-31b-it,3,1,186,True,True,True,True,hit,2531,426,421,0.00232425,ModelRun,
218309f3,google/gemma-4-31b-it,3,1,166,True,True,True,True,hit,2531,562,557,0.00246025,ModelRun,
19fdac4a,google/gemma-4-31b-it,3,1,126,True,True,True,True,hit,2531,573,568,0.00247125,ModelRun,
1bd85427,google/gemma-4-31b-it,3,1,38,True,True,True,True,hit,2531,538,533,0.00243625,ModelRun,
0dd89445,google/gemma-4-31b-it,3,1,847,False,False,True,True,false_alarm,2531,564,559,0.00246225,ModelRun,
0a0f784a,google/gemma-4-31b-it,3,1,294,True,True,True,True,hit,2531,1067,1062,0.00296525,ModelRun,
05e4ee0c,google/gemma-4-31b-it,3,1,122,True,True,True,True,hit,2531,1267,1262,0.00316525,ModelRun,
22d6166f,google/gemma-4-31b-it,3,1,50,True,True,True,True,hit,2531,1198,1193,0.00309625,ModelRun,
21f870af,google/gemma-4-31b-it,3,1,94,True,True,True,True,hit,2531,1331,1326,0.00322925,ModelRun,
3057b598,google/gemma-4-31b-it,3,1,328,True,True,True,True,hit,2531,725,720,0.00262325,ModelRun,
31ca9093,google/gemma-4-31b-it,3,1,833,False,False,False,False,correct_rejection,2531,672,667,0.00257025,ModelRun,
130175d4,google/gemma-4-31b-it,3,1,257,False,False,True,True,false_alarm,2531,1706,1701,0.00360425,ModelRun,
2954269c,google/gemma-4-31b-it,3,1,347,False,False,False,False,correct_rejection,2531,2547,2542,0.00444525,ModelRun,
2e8f8ed7,google/gemma-4-31b-it,3,1,657,False,False,False,False,correct_rejection,2531,2717,2712,0.00461525,ModelRun,
449bac03,google/gemma-4-31b-it,3,1,172,True,True,True,True,hit,2531,558,553,0.00245625,ModelRun,
4d99533d,google/gemma-4-31b-it,3,1,831,False,False,False,False,correct_rejection,2531,743,738,0.00264125,ModelRun,
544626ca,google/gemma-4-31b-it,3,1,483,False,False,True,True,false_alarm,2531,693,688,0.00259125,ModelRun,
3d6d4d02,google/gemma-4-31b-it,3,1,447,False,False,True,True,false_alarm,2531,944,939,0.00284225,ModelRun,
3d920721,google/gemma-4-31b-it,3,1,319,False,False,False,False,correct_rejection,2531,856,851,0.00275425,ModelRun,
5ebdbc2e,google/gemma-4-31b-it,3,1,250,True,True,True,True,hit,2531,1091,1086,0.00298925,ModelRun,
58d1a58a,google/gemma-4-31b-it,3,1,72,True,True,True,True,hit,2531,967,962,0.00286525,ModelRun,
563183d4,google/gemma-4-31b-it,3,1,350,True,True,True,True,hit,2531,1157,1152,0.00305525,ModelRun,
44ffaf3a,google/gemma-4-31b-it,3,1,10,True,True,True,True,hit,2531,835,830,0.00273325,ModelRun,
502591a7,google/gemma-4-31b-it,3,1,306,True,True,True,True,hit,2531,1201,1196,0.00309925,ModelRun,
4b4be6d1,google/gemma-4-31b-it,3,1,163,False,False,False,False,correct_rejection,2531,1371,1366,0.00326925,ModelRun,
65d6f5b7,google/gemma-4-31b-it,3,1,196,True,True,True,True,hit,2531,590,585,0.00248825,ModelRun,
66161338,google/gemma-4-31b-it,3,1,891,False,False,False,False,correct_rejection,2531,604,599,0.00250225,ModelRun,
5fcdb138,google/gemma-4-31b-it,3,1,773,False,False,True,True,false_alarm,2531,1623,1618,0.00352125,ModelRun,
