trial_id,model,seed,n_circles,n_cued,cued_letters,predicted_letters,exact_match,correct_count,precision,recall,error
046666a0,qwen/qwen3.5-397b-a17b,10,3,1,C,B,False,True,0.0,0.0,
0bb5b5b2,qwen/qwen3.5-397b-a17b,19,2,1,A,A,True,True,1.0,1.0,
109a0cc5,qwen/qwen3.5-397b-a17b,7,3,1,C,,,,,,Expecting value: line 1043 column 1 (char 5731)
2147fc6a,qwen/qwen3.5-397b-a17b,15,3,1,A,B,False,True,0.0,0.0,
28980a51,qwen/qwen3.5-397b-a17b,2,2,1,B,B,True,True,1.0,1.0,
2ea4ff3c,qwen/qwen3.5-397b-a17b,12,3,1,C,C,True,True,1.0,1.0,
36dd4953,qwen/qwen3.5-397b-a17b,17,2,1,A,A,True,True,1.0,1.0,
449b49ec,qwen/qwen3.5-397b-a17b,11,3,1,A,B,False,True,0.0,0.0,
4629b7f3,qwen/qwen3.5-397b-a17b,3,3,1,A,B,False,True,0.0,0.0,
511f78e8,qwen/qwen3.5-397b-a17b,4,3,1,B,B,True,True,1.0,1.0,
51b3b35f,qwen/qwen3.5-397b-a17b,0,2,1,B,B,True,True,1.0,1.0,
571d75af,qwen/qwen3.5-397b-a17b,16,3,1,A,A,True,True,1.0,1.0,
6be7bc00,qwen/qwen3.5-397b-a17b,13,3,1,C,C,True,True,1.0,1.0,
7aa62307,qwen/qwen3.5-397b-a17b,7,2,1,A,A,True,True,1.0,1.0,
7f37142f,qwen/qwen3.5-397b-a17b,8,2,1,A,A,True,True,1.0,1.0,
84b49841,qwen/qwen3.5-397b-a17b,14,3,1,A,A,True,True,1.0,1.0,
87836db3,qwen/qwen3.5-397b-a17b,5,3,1,B,B,True,True,1.0,1.0,
8dffb57d,qwen/qwen3.5-397b-a17b,14,2,1,A,A,True,True,1.0,1.0,
936f7248,qwen/qwen3.5-397b-a17b,8,3,1,C,C,True,True,1.0,1.0,
9388eec5,qwen/qwen3.5-397b-a17b,6,3,1,C,A,False,True,0.0,0.0,
9b2edbe1,qwen/qwen3.5-397b-a17b,10,2,1,A,B,False,True,0.0,0.0,
a28309a7,qwen/qwen3.5-397b-a17b,1,2,1,A,A,True,True,1.0,1.0,
a864a9fe,qwen/qwen3.5-397b-a17b,6,2,1,B,B,True,True,1.0,1.0,
affa505b,qwen/qwen3.5-397b-a17b,1,3,1,C,C,True,True,1.0,1.0,
b23cb9b4,qwen/qwen3.5-397b-a17b,13,2,1,A,A,True,True,1.0,1.0,
b6ef6228,qwen/qwen3.5-397b-a17b,12,2,1,B,B,True,True,1.0,1.0,
b6f43e7b,qwen/qwen3.5-397b-a17b,4,2,1,B,B,True,True,1.0,1.0,
c3e8ce80,qwen/qwen3.5-397b-a17b,5,2,1,A,A,True,True,1.0,1.0,
c9f1aac2,qwen/qwen3.5-397b-a17b,0,3,1,B,C,False,True,0.0,0.0,
d03e6c21,qwen/qwen3.5-397b-a17b,16,2,1,A,B,False,True,0.0,0.0,
d661cf3e,qwen/qwen3.5-397b-a17b,2,3,1,B,A,False,True,0.0,0.0,
e7a7b359,qwen/qwen3.5-397b-a17b,15,2,1,A,,,,,,Expecting value: line 581 column 1 (char 3190)
ec9961a1,qwen/qwen3.5-397b-a17b,9,3,1,C,A,False,True,0.0,0.0,
f0e5db16,qwen/qwen3.5-397b-a17b,9,2,1,A,A,True,True,1.0,1.0,
f544d870,qwen/qwen3.5-397b-a17b,11,2,1,A,A,True,True,1.0,1.0,
f6e266d7,qwen/qwen3.5-397b-a17b,3,2,1,A,B,False,True,0.0,0.0,
f8fb70e4,qwen/qwen3.5-397b-a17b,18,2,1,A,A,True,True,1.0,1.0,
fe1c6086,qwen/qwen3.5-397b-a17b,17,3,1,A,B,False,True,0.0,0.0,
2ec74f7c,qwen/qwen3.5-397b-a17b,18,3,1,B,A,False,True,0.0,0.0,
d141400d,qwen/qwen3.5-397b-a17b,19,3,1,B,B,True,True,1.0,1.0,
a3121bb9,qwen/qwen3.5-397b-a17b,0,4,1,B,A,False,True,0.0,0.0,
799c1ce8,qwen/qwen3.5-397b-a17b,1,4,1,B,D,False,True,0.0,0.0,
85c8ffd6,qwen/qwen3.5-397b-a17b,2,4,1,C,C,True,True,1.0,1.0,
49762639,qwen/qwen3.5-397b-a17b,3,4,1,C,B,False,True,0.0,0.0,
5e955610,qwen/qwen3.5-397b-a17b,4,4,1,C,C,True,True,1.0,1.0,
fc87b671,qwen/qwen3.5-397b-a17b,5,4,1,B,D,False,True,0.0,0.0,
c3b1a1a8,qwen/qwen3.5-397b-a17b,6,4,1,B,D,False,True,0.0,0.0,
233ba1bf,qwen/qwen3.5-397b-a17b,7,4,1,D,D,True,True,1.0,1.0,
9a3dd3f2,qwen/qwen3.5-397b-a17b,8,4,1,A,A,True,True,1.0,1.0,
c27fdd63,qwen/qwen3.5-397b-a17b,9,4,1,C,B,False,True,0.0,0.0,
42043fe6,qwen/qwen3.5-397b-a17b,10,4,1,B,D,False,True,0.0,0.0,
4d41fea1,qwen/qwen3.5-397b-a17b,11,4,1,B,D,False,True,0.0,0.0,
58340caf,qwen/qwen3.5-397b-a17b,12,4,1,B,B,True,True,1.0,1.0,
0a4c72ea,qwen/qwen3.5-397b-a17b,13,4,1,B,B,True,True,1.0,1.0,
10d3586c,qwen/qwen3.5-397b-a17b,14,4,1,A,A,True,True,1.0,1.0,
be2fa952,qwen/qwen3.5-397b-a17b,15,4,1,D,B,False,True,0.0,0.0,
db729fd9,qwen/qwen3.5-397b-a17b,16,4,1,A,B,False,True,0.0,0.0,
01f475fd,qwen/qwen3.5-397b-a17b,17,4,1,B,D,False,True,0.0,0.0,
