trial_id,model,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,cost,error
bace40a8,qwen/qwen3.8-27b,2,1,0,True,True,False,False,miss,0.0060016,
e38f324c,qwen/qwen3.8-27b,2,1,4,True,True,False,False,miss,0.0053992,
2d23eeec,qwen/qwen3.8-27b,2,1,10,False,False,False,False,correct_rejection,0.0053992,
aa13d8ad,qwen/qwen3.8-27b,2,1,9,True,True,False,False,miss,0.0053992,
d583d642,qwen/qwen3.8-27b,2,1,8,True,True,True,True,hit,0.0053992,
6786192a,qwen/qwen3.8-27b,2,1,1,True,True,False,False,miss,0.00575912,
3db7dd10,qwen/qwen3.8-27b,2,1,2,True,True,False,False,miss,0.00575912,
f64c9cc2,qwen/qwen3.8-27b,2,1,5,True,True,False,False,miss,0.0053992,
7dcd3c89,qwen/qwen3.8-27b,2,1,7,True,True,False,False,miss,0.0042956,
31778d0e,qwen/qwen3.8-27b,2,1,3,True,True,True,True,hit,0.0042956,
7923a436,qwen/qwen3.8-27b,2,1,6,True,True,False,False,miss,0.0042956,
59811e2b,qwen/qwen3.8-27b,2,1,14,False,False,False,False,correct_rejection,0.0053992,
18f242bf,qwen/qwen3.8-27b,2,1,12,False,False,True,True,false_alarm,0.0053992,
f0e2c0da,qwen/qwen3.8-27b,2,1,11,False,False,True,True,false_alarm,0.0042956,
5f53e26f,qwen/qwen3.8-27b,2,1,13,False,False,False,False,correct_rejection,0.0042956,
f3d90612,qwen/qwen3.8-27b,2,1,15,False,False,True,True,false_alarm,0.00575912,
cf46d500,qwen/qwen3.8-27b,2,1,18,False,False,False,False,correct_rejection,0.0053992,
3ab4591a,qwen/qwen3.8-27b,2,1,17,False,False,False,False,correct_rejection,0.00575912,
093d1515,qwen/qwen3.8-27b,2,1,16,False,False,True,True,false_alarm,0.00575912,
1d211185,qwen/qwen3.8-27b,2,1,19,False,False,False,False,correct_rejection,0.00575912,
6e85f678,qwen/qwen3.8-27b,4,1,0,True,True,False,False,miss,0.0053992,
6c0652ab,qwen/qwen3.8-27b,4,1,5,True,True,True,True,hit,0.0053992,
1103d746,qwen/qwen3.8-27b,4,1,1,True,True,False,False,miss,0.0053992,
44689c5e,qwen/qwen3.8-27b,4,1,3,True,True,False,False,miss,0.0060016,
16ad9031,qwen/qwen3.8-27b,4,1,4,True,True,False,False,miss,0.0060016,
54d57185,qwen/qwen3.8-27b,4,1,10,False,False,False,False,correct_rejection,0.0053992,
