trial_id,model,seed,n_circles,n_cued,cued_letters,predicted_letters,exact_match,correct_count,precision,recall,error
9d7cf375,qwen/qwen3.5-397b-a17b,0,4,1,B,A,False,True,0.0,0.0,
fbbcd81b,qwen/qwen3.5-397b-a17b,1,4,1,B,D,False,True,0.0,0.0,
753aa889,qwen/qwen3.5-397b-a17b,2,4,1,C,C,True,True,1.0,1.0,
e6f8be03,qwen/qwen3.5-397b-a17b,3,4,1,C,B,False,True,0.0,0.0,
06431ce3,qwen/qwen3.5-397b-a17b,4,4,1,C,C,True,True,1.0,1.0,
1db250fc,qwen/qwen3.5-397b-a17b,5,4,1,B,D,False,True,0.0,0.0,
d8c5eb98,qwen/qwen3.5-397b-a17b,6,4,1,B,D,False,True,0.0,0.0,
60f0611e,qwen/qwen3.5-397b-a17b,7,4,1,D,C,False,True,0.0,0.0,
15f042d2,qwen/qwen3.5-397b-a17b,8,4,1,A,C,False,True,0.0,0.0,
2c3a8541,qwen/qwen3.5-397b-a17b,9,4,1,C,B,False,True,0.0,0.0,
9c168338,qwen/qwen3.5-397b-a17b,10,4,1,B,D,False,True,0.0,0.0,
4c2c0614,qwen/qwen3.5-397b-a17b,11,4,1,B,D,False,True,0.0,0.0,
47d98f98,qwen/qwen3.5-397b-a17b,12,4,1,B,B,True,True,1.0,1.0,
676f8ed7,qwen/qwen3.5-397b-a17b,13,4,1,B,B,True,True,1.0,1.0,
a5f4aceb,qwen/qwen3.5-397b-a17b,14,4,1,A,B,False,True,0.0,0.0,
73ff5d79,qwen/qwen3.5-397b-a17b,15,4,1,D,C,False,True,0.0,0.0,
9468d695,qwen/qwen3.5-397b-a17b,16,4,1,A,B,False,True,0.0,0.0,
dd35b4d1,qwen/qwen3.5-397b-a17b,17,4,1,B,D,False,True,0.0,0.0,
59974a9a,qwen/qwen3.5-397b-a17b,18,4,1,A,A,True,True,1.0,1.0,
58fbec05,qwen/qwen3.5-397b-a17b,19,4,1,B,B,True,True,1.0,1.0,
