trial_id,model,redirect_condition,speed_condition,variant,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
f5d58578,qwen/qwen3.6-plus,slow,slow,native,4,1,1,True,True, True,True,hit,1639,2,0,0.000536575,
07f8395d,qwen/qwen3.6-plus,slow,slow,native,4,1,3,True,True, True,True,hit,1639,2,0,0.000536575,
74f29f9d,qwen/qwen3.6-plus,slow,slow,native,4,1,2,True,True, True,True,hit,1639,2,0,0.000536575,
236ca4e4,qwen/qwen3.6-plus,slow,slow,native,4,1,4,True,True, True,True,hit,1639,2,0,0.000536575,
7cffc3f7,qwen/qwen3.6-plus,slow,slow,native,4,1,0,True,True, True,True,hit,1639,2,0,0.000536575,
2944ca9d,qwen/qwen3.6-plus,slow,slow,native,4,1,9,True,True, True,True,hit,1639,2,0,0.000536575,
5dcac34a,qwen/qwen3.6-plus,slow,slow,native,4,1,5,True,True, True,True,hit,1639,2,0,0.000536575,
f56bd7e2,qwen/qwen3.6-plus,slow,slow,native,4,1,6,True,True, True,True,hit,1639,2,0,0.000536575,
20be9d86,qwen/qwen3.6-plus,slow,slow,native,4,1,7,True,True, True,True,hit,1639,2,0,0.000536575,
bf3a232c,qwen/qwen3.6-plus,slow,slow,native,4,1,8,True,True, True,True,hit,1639,2,0,0.000536575,
b9a7e06f,qwen/qwen3.6-plus,slow,slow,native,4,1,10,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
205a5ace,qwen/qwen3.6-plus,slow,slow,native,4,1,12,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
22318d01,qwen/qwen3.6-plus,slow,slow,native,4,1,14,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
790edf31,qwen/qwen3.6-plus,slow,slow,native,4,1,11,False,False, True,True,false_alarm,1639,2,0,0.000536575,
100999af,qwen/qwen3.6-plus,slow,slow,native,4,1,13,False,False, True,True,false_alarm,1639,2,0,0.000536575,
e1a771ca,qwen/qwen3.6-plus,slow,slow,native,4,1,15,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
dd31f57f,qwen/qwen3.6-plus,slow,slow,native,4,1,17,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
1974eebf,qwen/qwen3.6-plus,slow,slow,native,4,1,16,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
3462511f,qwen/qwen3.6-plus,slow,slow,native,4,1,18,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
5fb52b9c,qwen/qwen3.6-plus,slow,slow,native,4,1,19,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
e01305b9,qwen/qwen3.6-plus,slow,slow,stretched,4,1,3,True,True, True,True,hit,7399,2,0,0.002408575,
c7ec4352,qwen/qwen3.6-plus,slow,slow,stretched,4,1,0,True,True, True,True,hit,7399,2,0,0.002408575,
7cd8a1be,qwen/qwen3.6-plus,slow,slow,stretched,4,1,4,True,True, True,True,hit,7399,2,0,0.002408575,
92286416,qwen/qwen3.6-plus,slow,slow,stretched,4,1,2,True,True, True,True,hit,7399,2,0,0.002408575,
ec7d71ca,qwen/qwen3.6-plus,slow,slow,stretched,4,1,1,True,True, True,True,hit,7399,2,0,0.002408575,
bd810f39,qwen/qwen3.6-plus,slow,slow,stretched,4,1,7,True,True, True,True,hit,7399,2,0,0.002408575,
106f1d29,qwen/qwen3.6-plus,slow,slow,stretched,4,1,5,True,True, True,True,hit,7399,2,0,0.002408575,
8356b0d9,qwen/qwen3.6-plus,slow,slow,stretched,4,1,9,True,True, True,True,hit,7399,2,0,0.002408575,
597fdb1c,qwen/qwen3.6-plus,slow,slow,stretched,4,1,8,True,True, True,True,hit,7399,2,0,0.002408575,
d58987c7,qwen/qwen3.6-plus,slow,slow,stretched,4,1,6,True,True, True,True,hit,7399,2,0,0.002408575,
043a4321,qwen/qwen3.6-plus,slow,slow,stretched,4,1,10,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
3048f315,qwen/qwen3.6-plus,slow,slow,stretched,4,1,11,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
7a8a9be5,qwen/qwen3.6-plus,slow,slow,stretched,4,1,12,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
d8363356,qwen/qwen3.6-plus,slow,slow,stretched,4,1,13,False,False, True,True,false_alarm,7399,2,0,0.002408575,
38e69137,qwen/qwen3.6-plus,slow,slow,stretched,4,1,14,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
7b17256a,qwen/qwen3.6-plus,slow,slow,stretched,4,1,15,False,False, True,True,false_alarm,7399,2,0,0.002408575,
4c8a76da,qwen/qwen3.6-plus,slow,slow,stretched,4,1,16,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
02576097,qwen/qwen3.6-plus,slow,slow,stretched,4,1,17,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
bc896752,qwen/qwen3.6-plus,slow,slow,stretched,4,1,18,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
05d8dd9e,qwen/qwen3.6-plus,slow,slow,stretched,4,1,19,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
7f59f6ae,google/gemma-4-31b-it,slow,slow,native,4,1,4,True,True,True,True,hit,2530,2,0,0.00025368,
4d1c09a2,google/gemma-4-31b-it,slow,slow,native,4,1,0,True,True,True,True,hit,2530,2,0,0.00025368,
38939403,google/gemma-4-31b-it,slow,slow,native,4,1,3,True,True,True,True,hit,2530,2,0,0.00025368,
da85e767,google/gemma-4-31b-it,slow,slow,native,4,1,1,True,True,True,True,hit,2530,2,0,0.00025368,
42987061,google/gemma-4-31b-it,slow,slow,native,4,1,2,True,True,True,True,hit,2530,2,0,0.00025368,
7bdc1785,google/gemma-4-31b-it,slow,slow,native,4,1,6,True,True,True,True,hit,216,1,0,0.000163,
abd86c83,google/gemma-4-31b-it,slow,slow,native,4,1,5,True,True,True,True,hit,2530,2,0,0.00025368,
aa5fcaf3,google/gemma-4-31b-it,slow,slow,native,4,1,7,True,True,True,True,hit,2530,2,0,0.00025368,
33b41564,google/gemma-4-31b-it,slow,slow,native,4,1,8,True,True,True,True,hit,2530,2,0,0.00025368,
dc214904,google/gemma-4-31b-it,slow,slow,native,4,1,12,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
2de5d57e,google/gemma-4-31b-it,slow,slow,native,4,1,10,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
63e37129,google/gemma-4-31b-it,slow,slow,native,4,1,11,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
1c6c314c,google/gemma-4-31b-it,slow,slow,native,4,1,13,False,False,True,True,false_alarm,2530,2,0,0.00025368,
7a961ef8,google/gemma-4-31b-it,slow,slow,native,4,1,14,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
6f1d8563,google/gemma-4-31b-it,slow,slow,native,4,1,15,False,False,True,True,false_alarm,2530,2,0,0.00025368,
20463252,google/gemma-4-31b-it,slow,slow,native,4,1,16,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
0e3a3394,google/gemma-4-31b-it,slow,slow,native,4,1,17,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
821ac383,google/gemma-4-31b-it,slow,slow,native,4,1,18,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
b31ffff8,google/gemma-4-31b-it,slow,slow,native,4,1,19,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
13c2102a,google/gemma-4-31b-it,slow,slow,native,4,1,9,True,True,True,True,hit,2530,2,0,0.00025368,
a384b34f,google/gemma-4-31b-it,slow,slow,stretched,4,1,0,True,True,True,True,hit,2530,2,0,0.00025368,
5605128e,google/gemma-4-31b-it,slow,slow,stretched,4,1,1,True,True,True,True,hit,2530,2,0,0.00025368,
