trial_id,model,n_objects,redirect_condition,speed_condition,variant,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,output_tokens,generation_time_s,error
05aae895,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,3,True,True,False,False,miss,2528,2,15.274325609207153,
05c6f5a3,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,14,False,False,False,False,correct_rejection,2528,2,1.821544885635376,
11984043,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,13,False,False,False,False,correct_rejection,2528,2,1.6809942722320557,
127e0694,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,19,False,False,False,False,correct_rejection,2528,2,1.6924712657928467,
16875d55,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,13,False,False,False,False,correct_rejection,2528,2,1.680621862411499,
1b592dac,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,4,True,True,False,False,miss,2528,2,1.6854546070098877,
21a7f24f,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,10,False,False,False,False,correct_rejection,2528,2,1.6845734119415283,
2981ba0f,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,12,False,False,False,False,correct_rejection,2528,2,1.6839373111724854,
2b6f85d2,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,3,True,True,True,True,hit,2528,2,1.6802036762237549,
2c46a7d9,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,10,False,False,False,False,correct_rejection,2528,2,1.6839075088500977,
315dba87,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,14,False,False,False,False,correct_rejection,2528,2,1.6927642822265625,
31f3c58f,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,0,True,True,True,True,hit,2528,2,1.6845340728759766,
3f826afc,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,17,False,False,False,False,correct_rejection,2528,2,1.693798303604126,
467b974f,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,4,True,True,False,False,miss,2528,2,1.7002482414245605,
4974940a,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,8,True,True,True,True,hit,2528,2,1.696359634399414,
5197de80,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,15,False,False,False,False,correct_rejection,2528,2,1.6955249309539795,
521a4cee,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,4,True,True,True,True,hit,2528,2,1.7017371654510498,
537f437a,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,19,False,False,False,False,correct_rejection,2528,2,1.690363883972168,
56243326,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,9,True,True,True,True,hit,2528,2,1.6905262470245361,
58a20137,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,5,True,True,True,True,hit,2528,2,1.6980605125427246,
5d5d0a10,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,5,True,True,True,True,hit,2528,2,1.6970841884613037,
602b106f,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,18,False,False,False,False,correct_rejection,2528,2,1.694322109222412,
614273b4,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,18,False,False,False,False,correct_rejection,2528,2,1.7016253471374512,
621cc1c9,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,9,True,True,True,True,hit,2528,2,1.6996815204620361,
65546f9b,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,15,False,False,False,False,correct_rejection,2528,2,1.6992948055267334,
6d978cac,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,17,False,False,False,False,correct_rejection,2528,2,1.7075345516204834,
6ddadd7f,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,16,False,False,False,False,correct_rejection,2528,2,1.7097723484039307,
6f0edd54,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,1,True,True,True,True,hit,2528,2,1.7029736042022705,
89321924,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,2,True,True,True,True,hit,2528,2,1.703719139099121,
8a8836fc,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,12,False,False,False,False,correct_rejection,2528,2,1.7099437713623047,
8dd2c1c4,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,7,True,True,True,True,hit,2528,2,1.7093696594238281,
914a01dd,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,11,False,False,False,False,correct_rejection,2528,2,1.7050678730010986,
9a101586,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,15,False,False,False,False,correct_rejection,2528,2,1.698890209197998,
9c6d1597,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,11,False,False,False,False,correct_rejection,2528,2,1.7151203155517578,
a7611e0d,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,14,False,False,False,False,correct_rejection,2528,2,1.7044146060943604,
a7b22226,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,6,True,True,False,False,miss,2528,2,1.7260808944702148,
a99285ac,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,5,True,True,True,True,hit,2528,2,1.719369888305664,
aa6f0af6,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,1,True,True,True,True,hit,2528,2,1.717853307723999,
aaba46df,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,9,True,True,False,False,miss,2528,2,1.7177355289459229,
aaee7ad9,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,1,True,True,False,False,miss,2528,2,1.7081806659698486,
ad0d2614,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,6,True,True,False,False,miss,2528,2,1.7119677066802979,
b4bd24be,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,0,True,True,True,True,hit,2528,2,1.7148034572601318,
b8948a0f,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,16,False,False,False,False,correct_rejection,2528,2,1.7160975933074951,
ba63deb8,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,6,True,True,False,False,miss,2528,2,1.7161285877227783,
c499615f,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,2,True,True,False,False,miss,2528,2,1.713073968887329,
c533f9ef,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,3,True,True,True,True,hit,2528,2,1.7221770286560059,
c9273333,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,8,True,True,False,False,miss,2528,2,1.7229058742523193,
d17e2af3,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,16,False,False,False,False,correct_rejection,2528,2,1.7136943340301514,
d1c885bb,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,0,True,True,True,True,hit,2528,2,1.720754861831665,
d8a53c8e,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,10,False,False,False,False,correct_rejection,2528,2,1.712656021118164,
dbe4ebe3,google/gemma-4-31b-it-local-mp4,4,fast,fast,native,7,True,True,True,True,hit,2528,2,1.7192814350128174,
e8177a9b,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,7,True,True,False,False,miss,2528,2,1.7162997722625732,
ed8fd544,google/gemma-4-31b-it-local-mp4,3,fast,fast,native,8,True,True,True,True,hit,2528,2,1.7206470966339111,
eefa09bf,google/gemma-4-31b-it-local-mp4,5,fast,fast,native,19,False,False,True,True,false_alarm,2528,2,1.7239148616790771,
