trial_id,model,seed,n_circles,n_cued,fps,speed_px_s,tracking_s,total_duration_s,cued_letters,predicted_letters,exact_match,correct_count,precision,recall,error
373f23ce,qwen/qwen3.5-flash-02-23,0,5,1,4,70.0,4.0,8.0,E,E,True,True,1.0,1.0,
dd81891e,qwen/qwen3.5-flash-02-23,9,5,1,4,70.0,4.0,8.0,E,E,True,True,1.0,1.0,
16df633f,qwen/qwen3.5-flash-02-23,0,5,1,4,70.0,6.0,10.0,E,E,True,True,1.0,1.0,
a8301648,qwen/qwen3.5-flash-02-23,7,5,1,4,70.0,4.0,8.0,B,B,True,True,1.0,1.0,
10ccd62c,qwen/qwen3.5-flash-02-23,6,5,1,4,70.0,4.0,8.0,C,C,True,True,1.0,1.0,
15d1cb8f,qwen/qwen3.5-flash-02-23,1,5,1,4,70.0,4.0,8.0,E,E,True,True,1.0,1.0,
78f20923,qwen/qwen3.5-flash-02-23,5,5,1,4,70.0,4.0,8.0,D,E,False,True,0.0,0.0,
ebf475a1,qwen/qwen3.5-flash-02-23,3,5,1,4,70.0,4.0,8.0,C,C,True,True,1.0,1.0,
f4bf0346,qwen/qwen3.5-flash-02-23,4,5,1,4,70.0,4.0,8.0,D,C,False,True,0.0,0.0,
cb80c608,qwen/qwen3.5-flash-02-23,1,5,1,4,70.0,6.0,10.0,E,E,True,True,1.0,1.0,
e2bb6d97,qwen/qwen3.5-flash-02-23,2,5,1,4,70.0,6.0,10.0,D,A,False,True,0.0,0.0,
7a5d07c7,qwen/qwen3.5-flash-02-23,8,5,1,4,70.0,4.0,8.0,B,"A,B",False,False,0.5,1.0,
08efa2ea,qwen/qwen3.5-flash-02-23,0,5,1,4,70.0,8.0,12.0,E,E,True,True,1.0,1.0,
5f4c74da,qwen/qwen3.5-flash-02-23,7,5,1,4,70.0,6.0,10.0,B,B,True,True,1.0,1.0,
df373280,qwen/qwen3.5-flash-02-23,4,5,1,4,70.0,6.0,10.0,D,B,False,True,0.0,0.0,
e8fef711,qwen/qwen3.5-flash-02-23,8,5,1,4,70.0,6.0,10.0,B,B,True,True,1.0,1.0,
b72ee017,qwen/qwen3.5-flash-02-23,7,5,1,4,70.0,8.0,12.0,B,B,True,True,1.0,1.0,
6620cc28,qwen/qwen3.5-flash-02-23,5,5,1,4,70.0,6.0,10.0,D,E,False,True,0.0,0.0,
f4892fab,qwen/qwen3.5-flash-02-23,6,5,1,4,70.0,6.0,10.0,C,C,True,True,1.0,1.0,
