trial_id,model,rotation_deg,variant,n_objects,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
390bc54e,qwen/qwen3.6-plus,40,native,3,2,True,True, True,True,hit,1652,2,0,0.0005408,
d098b3b8,qwen/qwen3.6-plus,40,native,3,5,True,True, True,True,hit,1652,2,0,0.0005408,
260987fe,qwen/qwen3.6-plus,40,native,3,0,True,True, False,False,miss,1652,2,0,0.0005408,
81a9f194,qwen/qwen3.6-plus,40,native,3,1,True,True, True,True,hit,1652,2,0,0.0005408,
f1c5611b,qwen/qwen3.6-plus,40,native,3,4,True,True, True,True,hit,1652,2,0,0.0005408,
32acfad3,qwen/qwen3.6-plus,40,native,3,3,True,True, True,True,hit,1652,2,0,0.0005408,
3c89fc0c,qwen/qwen3.6-plus,40,native,3,6,True,True, True,True,hit,1652,2,0,0.0005408,
2ae8a953,qwen/qwen3.6-plus,40,native,3,7,True,True, True,True,hit,1652,2,0,0.0005408,
942257b9,qwen/qwen3.6-plus,40,native,3,8,True,True, True,True,hit,1652,2,0,0.0005408,
8de874b6,qwen/qwen3.6-plus,40,native,3,10,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
246fc5a3,qwen/qwen3.6-plus,40,native,3,9,True,True, True,True,hit,1652,2,0,0.0005408,
8d7b6d1e,qwen/qwen3.6-plus,40,native,3,11,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
ea7dd708,qwen/qwen3.6-plus,40,native,3,12,False,False, True,True,false_alarm,1652,2,0,0.0005408,
5f929ffe,qwen/qwen3.6-plus,40,native,3,14,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
01b358c5,qwen/qwen3.6-plus,40,native,3,17,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
76c21cb9,qwen/qwen3.6-plus,40,native,3,15,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
f8550b68,qwen/qwen3.6-plus,40,native,3,16,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
e8159e76,qwen/qwen3.6-plus,40,native,3,13,False,False, True,True,false_alarm,1652,2,0,0.0005408,
82ae4c78,qwen/qwen3.6-plus,40,native,3,18,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
ccbb7513,qwen/qwen3.6-plus,40,native,3,19,False,False, False,False,correct_rejection,1652,2,0,0.0005408,
db720e1f,qwen/qwen3.6-plus,40,stretched,3,0,True,True, True,True,hit,7412,2,0,0.0024128,
491dbc87,qwen/qwen3.6-plus,40,stretched,3,3,True,True, True,True,hit,7412,2,0,0.0024128,
8b96e210,qwen/qwen3.6-plus,40,stretched,3,1,True,True, True,True,hit,7412,2,0,0.0024128,
69c5f4ab,qwen/qwen3.6-plus,40,stretched,3,5,True,True, True,True,hit,7412,2,0,0.0024128,
ac6d3c99,qwen/qwen3.6-plus,40,stretched,3,4,True,True, True,True,hit,7412,2,0,0.0024128,
f36f5072,qwen/qwen3.6-plus,40,stretched,3,2,True,True, True,True,hit,7412,2,0,0.0024128,
40f0f278,qwen/qwen3.6-plus,40,stretched,3,6,True,True, True,True,hit,7412,2,0,0.0024128,
621c3215,qwen/qwen3.6-plus,40,stretched,3,9,True,True, True,True,hit,7412,2,0,0.0024128,
39286a6a,qwen/qwen3.6-plus,40,stretched,3,8,True,True, True,True,hit,7412,2,0,0.0024128,
2cf5c5a9,qwen/qwen3.6-plus,40,stretched,3,11,False,False, False,False,correct_rejection,7412,2,0,0.0024128,
2fe6a3fc,qwen/qwen3.6-plus,40,stretched,3,7,True,True, True,True,hit,7412,2,0,0.0024128,
ff57469b,qwen/qwen3.6-plus,40,stretched,3,10,False,False, False,False,correct_rejection,7412,2,0,0.0024128,
54cd2a3a,qwen/qwen3.6-plus,40,stretched,3,12,False,False, False,False,correct_rejection,7412,2,0,0.0024128,
47b1cc37,qwen/qwen3.6-plus,40,stretched,3,14,False,False, False,False,correct_rejection,7412,2,0,0.0024128,
6ac817d4,qwen/qwen3.6-plus,40,stretched,3,13,False,False, False,False,correct_rejection,7412,2,0,0.0024128,
