trial_id,model,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
008f1a4c,google/gemma-4-31b-it,3,1,36,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
03059294,google/gemma-4-31b-it,3,1,32,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
0513a4d3,google/gemma-4-31b-it,3,1,4,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
008f1a4c,qwen/qwen3.6-plus,3,1,36,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
03059294,qwen/qwen3.6-plus,3,1,32,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
0513a4d3,qwen/qwen3.6-plus,3,1,4,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
008f1a4c,moonshotai/kimi-k3,3,1,36,True,True,False,False,miss,5280,11,0,0.016005,Moonshot AI,
03059294,moonshotai/kimi-k3,3,1,32,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
0513a4d3,moonshotai/kimi-k3,3,1,4,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
008f1a4c,qwen/qwen3.8-27b,3,1,36,True,True,False,False,miss,7835,2,0,0.00168179,Reka,
03059294,qwen/qwen3.8-27b,3,1,32,True,True,False,False,miss,7395,2,0,0.003147975,Alibaba,
0513a4d3,qwen/qwen3.8-27b,3,1,4,True,True,True,True,hit,7835,2,0,0.0018848,Parasail,
0a0f784a,google/gemma-4-31b-it,3,1,294,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
05e4ee0c,google/gemma-4-31b-it,3,1,122,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
0dd89445,google/gemma-4-31b-it,3,1,847,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
05d893f1,google/gemma-4-31b-it,3,1,256,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
0e5486aa,google/gemma-4-31b-it,3,1,356,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
113d24fa,google/gemma-4-31b-it,3,1,777,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
12313238,google/gemma-4-31b-it,3,1,127,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
10cdde16,google/gemma-4-31b-it,3,1,53,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
130175d4,google/gemma-4-31b-it,3,1,257,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
185b5234,google/gemma-4-31b-it,3,1,186,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
22d6166f,google/gemma-4-31b-it,3,1,50,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
21f870af,google/gemma-4-31b-it,3,1,94,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
2954269c,google/gemma-4-31b-it,3,1,347,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
19fdac4a,google/gemma-4-31b-it,3,1,126,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
31ca9093,google/gemma-4-31b-it,3,1,833,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
2e8f8ed7,google/gemma-4-31b-it,3,1,657,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
1bd85427,google/gemma-4-31b-it,3,1,38,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
1c94fbd8,google/gemma-4-31b-it,3,1,123,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
3057b598,google/gemma-4-31b-it,3,1,328,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
218309f3,google/gemma-4-31b-it,3,1,166,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
3d6d4d02,google/gemma-4-31b-it,3,1,447,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
449bac03,google/gemma-4-31b-it,3,1,172,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
502591a7,google/gemma-4-31b-it,3,1,306,True,True,False,False,miss,2528,2,0,0.0002282,DeepInfra,
4d20c127,google/gemma-4-31b-it,3,1,249,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
4b4be6d1,google/gemma-4-31b-it,3,1,163,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
44ffaf3a,google/gemma-4-31b-it,3,1,10,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
544626ca,google/gemma-4-31b-it,3,1,483,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
563183d4,google/gemma-4-31b-it,3,1,350,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
58d1a58a,google/gemma-4-31b-it,3,1,72,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
3d920721,google/gemma-4-31b-it,3,1,319,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
5fcdb138,google/gemma-4-31b-it,3,1,773,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
5cc9a756,google/gemma-4-31b-it,3,1,21,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
628b561b,google/gemma-4-31b-it,3,1,204,True,True,False,False,miss,2528,2,0,0.0002282,DeepInfra,
5ebdbc2e,google/gemma-4-31b-it,3,1,250,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
61fe08a3,google/gemma-4-31b-it,3,1,613,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
65d6f5b7,google/gemma-4-31b-it,3,1,196,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
66161338,google/gemma-4-31b-it,3,1,891,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
64fc5bcb,google/gemma-4-31b-it,3,1,157,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
64bbf5e6,google/gemma-4-31b-it,3,1,897,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
726bf4cc,google/gemma-4-31b-it,3,1,173,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
4d99533d,google/gemma-4-31b-it,3,1,831,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
675d290a,google/gemma-4-31b-it,3,1,400,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
70d81879,google/gemma-4-31b-it,3,1,491,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
7d38aadc,google/gemma-4-31b-it,3,1,308,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
8008790c,google/gemma-4-31b-it,3,1,150,True,True,False,False,miss,2528,2,0,0.0002282,DeepInfra,
698b87b1,google/gemma-4-31b-it,3,1,763,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
73cb6699,google/gemma-4-31b-it,3,1,253,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
6bf851c0,google/gemma-4-31b-it,3,1,148,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
84b933ed,google/gemma-4-31b-it,3,1,747,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
84ba010f,google/gemma-4-31b-it,3,1,485,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
6891cfa2,google/gemma-4-31b-it,3,1,49,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
93f3f74a,google/gemma-4-31b-it,3,1,301,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
7543dd29,google/gemma-4-31b-it,3,1,216,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
7bcb4a12,google/gemma-4-31b-it,3,1,99,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
8f95dad8,google/gemma-4-31b-it,3,1,551,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
910caf82,google/gemma-4-31b-it,3,1,342,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
8e14647a,google/gemma-4-31b-it,3,1,362,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
a557a177,google/gemma-4-31b-it,3,1,889,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
9c840fbd,google/gemma-4-31b-it,3,1,262,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
985a922a,google/gemma-4-31b-it,3,1,667,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
989e0a4b,google/gemma-4-31b-it,3,1,901,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
9a2fcc83,google/gemma-4-31b-it,3,1,248,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
b5b8a2bd,google/gemma-4-31b-it,3,1,344,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
ae87985e,google/gemma-4-31b-it,3,1,16,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
b19cbb42,google/gemma-4-31b-it,3,1,865,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
aafd056d,google/gemma-4-31b-it,3,1,252,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
acf1c638,google/gemma-4-31b-it,3,1,315,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
b77c3af9,google/gemma-4-31b-it,3,1,66,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
b81c6884,google/gemma-4-31b-it,3,1,236,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
c95b8d86,google/gemma-4-31b-it,3,1,402,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
d275422a,google/gemma-4-31b-it,3,1,125,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
d5fd3499,google/gemma-4-31b-it,3,1,224,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
c9678ea2,google/gemma-4-31b-it,3,1,39,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
c1d9ce92,google/gemma-4-31b-it,3,1,577,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
c6f5e826,google/gemma-4-31b-it,3,1,266,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
c5fc02ff,google/gemma-4-31b-it,3,1,54,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
c61c8de5,google/gemma-4-31b-it,3,1,392,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
d620def6,google/gemma-4-31b-it,3,1,617,False,False,True,True,false_alarm,2528,2,0,0.0002282,DeepInfra,
c923a38e,google/gemma-4-31b-it,3,1,208,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
cf522fd4,google/gemma-4-31b-it,3,1,711,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
d8be28ba,google/gemma-4-31b-it,3,1,25,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
d890eba7,google/gemma-4-31b-it,3,1,349,False,False,False,False,correct_rejection,2528,2,0,0.0002282,DeepInfra,
e26b0eb8,google/gemma-4-31b-it,3,1,85,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
e163a794,google/gemma-4-31b-it,3,1,168,True,True,True,True,hit,2528,2,0,0.0002282,DeepInfra,
e000dd00,google/gemma-4-31b-it,3,1,251,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
dd7f47fe,google/gemma-4-31b-it,3,1,290,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
e3647096,google/gemma-4-31b-it,3,1,296,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
e3bc2103,google/gemma-4-31b-it,3,1,376,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
e698a28c,google/gemma-4-31b-it,3,1,136,True,True,False,False,miss,2528,2,0,0.0002218,DeepInfra,
ed0375c4,google/gemma-4-31b-it,3,1,277,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
f20de8b3,google/gemma-4-31b-it,3,1,479,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
f8bcc765,google/gemma-4-31b-it,3,1,169,False,False,False,False,correct_rejection,2528,2,0,0.0002218,DeepInfra,
fb618ea8,google/gemma-4-31b-it,3,1,288,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
ee02c218,google/gemma-4-31b-it,3,1,547,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
05d893f1,qwen/qwen3.6-plus,3,1,256,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
edc72aa6,google/gemma-4-31b-it,3,1,539,False,False,True,True,false_alarm,2528,2,0,0.0002218,DeepInfra,
f00c5f32,google/gemma-4-31b-it,3,1,264,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
05e4ee0c,qwen/qwen3.6-plus,3,1,122,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
0a0f784a,qwen/qwen3.6-plus,3,1,294,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
fedb6929,google/gemma-4-31b-it,3,1,134,True,True,True,True,hit,2528,2,0,0.0002218,DeepInfra,
0dd89445,qwen/qwen3.6-plus,3,1,847,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
10cdde16,qwen/qwen3.6-plus,3,1,53,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
113d24fa,qwen/qwen3.6-plus,3,1,777,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
0e5486aa,qwen/qwen3.6-plus,3,1,356,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
12313238,qwen/qwen3.6-plus,3,1,127,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
130175d4,qwen/qwen3.6-plus,3,1,257,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
185b5234,qwen/qwen3.6-plus,3,1,186,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
19fdac4a,qwen/qwen3.6-plus,3,1,126,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
1bd85427,qwen/qwen3.6-plus,3,1,38,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
218309f3,qwen/qwen3.6-plus,3,1,166,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
1c94fbd8,qwen/qwen3.6-plus,3,1,123,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
21f870af,qwen/qwen3.6-plus,3,1,94,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
2e8f8ed7,qwen/qwen3.6-plus,3,1,657,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
2954269c,qwen/qwen3.6-plus,3,1,347,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
3057b598,qwen/qwen3.6-plus,3,1,328,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
22d6166f,qwen/qwen3.6-plus,3,1,50,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
31ca9093,qwen/qwen3.6-plus,3,1,833,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
3d6d4d02,qwen/qwen3.6-plus,3,1,447,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
3d920721,qwen/qwen3.6-plus,3,1,319,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
449bac03,qwen/qwen3.6-plus,3,1,172,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
4b4be6d1,qwen/qwen3.6-plus,3,1,163,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
44ffaf3a,qwen/qwen3.6-plus,3,1,10,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
4d99533d,qwen/qwen3.6-plus,3,1,831,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
502591a7,qwen/qwen3.6-plus,3,1,306,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
4d20c127,qwen/qwen3.6-plus,3,1,249,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
544626ca,qwen/qwen3.6-plus,3,1,483,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
563183d4,qwen/qwen3.6-plus,3,1,350,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
58d1a58a,qwen/qwen3.6-plus,3,1,72,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
5cc9a756,qwen/qwen3.6-plus,3,1,21,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
5ebdbc2e,qwen/qwen3.6-plus,3,1,250,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
5fcdb138,qwen/qwen3.6-plus,3,1,773,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
61fe08a3,qwen/qwen3.6-plus,3,1,613,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
628b561b,qwen/qwen3.6-plus,3,1,204,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
64bbf5e6,qwen/qwen3.6-plus,3,1,897,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
65d6f5b7,qwen/qwen3.6-plus,3,1,196,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
64fc5bcb,qwen/qwen3.6-plus,3,1,157,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
66161338,qwen/qwen3.6-plus,3,1,891,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
675d290a,qwen/qwen3.6-plus,3,1,400,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
6891cfa2,qwen/qwen3.6-plus,3,1,49,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
698b87b1,qwen/qwen3.6-plus,3,1,763,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
6bf851c0,qwen/qwen3.6-plus,3,1,148,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
70d81879,qwen/qwen3.6-plus,3,1,491,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
7543dd29,qwen/qwen3.6-plus,3,1,216,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
726bf4cc,qwen/qwen3.6-plus,3,1,173,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
73cb6699,qwen/qwen3.6-plus,3,1,253,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
7bcb4a12,qwen/qwen3.6-plus,3,1,99,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
7d38aadc,qwen/qwen3.6-plus,3,1,308,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
8008790c,qwen/qwen3.6-plus,3,1,150,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
84b933ed,qwen/qwen3.6-plus,3,1,747,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
84ba010f,qwen/qwen3.6-plus,3,1,485,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
8e14647a,qwen/qwen3.6-plus,3,1,362,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
8f95dad8,qwen/qwen3.6-plus,3,1,551,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
910caf82,qwen/qwen3.6-plus,3,1,342,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
989e0a4b,qwen/qwen3.6-plus,3,1,901,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
93f3f74a,qwen/qwen3.6-plus,3,1,301,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
985a922a,qwen/qwen3.6-plus,3,1,667,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
9a2fcc83,qwen/qwen3.6-plus,3,1,248,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
9c840fbd,qwen/qwen3.6-plus,3,1,262,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
a557a177,qwen/qwen3.6-plus,3,1,889,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
aafd056d,qwen/qwen3.6-plus,3,1,252,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
ae87985e,qwen/qwen3.6-plus,3,1,16,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
acf1c638,qwen/qwen3.6-plus,3,1,315,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
b19cbb42,qwen/qwen3.6-plus,3,1,865,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
b5b8a2bd,qwen/qwen3.6-plus,3,1,344,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
b81c6884,qwen/qwen3.6-plus,3,1,236,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
b77c3af9,qwen/qwen3.6-plus,3,1,66,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
c1d9ce92,qwen/qwen3.6-plus,3,1,577,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
c5fc02ff,qwen/qwen3.6-plus,3,1,54,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
c61c8de5,qwen/qwen3.6-plus,3,1,392,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
c6f5e826,qwen/qwen3.6-plus,3,1,266,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
c923a38e,qwen/qwen3.6-plus,3,1,208,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
c95b8d86,qwen/qwen3.6-plus,3,1,402,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
c9678ea2,qwen/qwen3.6-plus,3,1,39,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
d275422a,qwen/qwen3.6-plus,3,1,125,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
cf522fd4,qwen/qwen3.6-plus,3,1,711,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
d5fd3499,qwen/qwen3.6-plus,3,1,224,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
d620def6,qwen/qwen3.6-plus,3,1,617,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
d890eba7,qwen/qwen3.6-plus,3,1,349,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
d8be28ba,qwen/qwen3.6-plus,3,1,25,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
dd7f47fe,qwen/qwen3.6-plus,3,1,290,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
e163a794,qwen/qwen3.6-plus,3,1,168,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
e000dd00,qwen/qwen3.6-plus,3,1,251,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
e26b0eb8,qwen/qwen3.6-plus,3,1,85,False,False, False,False,correct_rejection,7837,2,0,0.002550925,Alibaba,
e3647096,qwen/qwen3.6-plus,3,1,296,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
e3bc2103,qwen/qwen3.6-plus,3,1,376,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
e698a28c,qwen/qwen3.6-plus,3,1,136,True,True, False,False,miss,7837,2,0,0.002550925,Alibaba,
ed0375c4,qwen/qwen3.6-plus,3,1,277,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
edc72aa6,qwen/qwen3.6-plus,3,1,539,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
ee02c218,qwen/qwen3.6-plus,3,1,547,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
f20de8b3,qwen/qwen3.6-plus,3,1,479,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
f00c5f32,qwen/qwen3.6-plus,3,1,264,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
f8bcc765,qwen/qwen3.6-plus,3,1,169,False,False, True,True,false_alarm,7837,2,0,0.002550925,Alibaba,
fb618ea8,qwen/qwen3.6-plus,3,1,288,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
fedb6929,qwen/qwen3.6-plus,3,1,134,True,True, True,True,hit,7837,2,0,0.002550925,Alibaba,
05e4ee0c,moonshotai/kimi-k3,3,1,122,True,True,False,False,miss,5280,11,0,0.016005,Moonshot AI,
05d893f1,moonshotai/kimi-k3,3,1,256,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
0dd89445,moonshotai/kimi-k3,3,1,847,False,False,True,True,false_alarm,5280,11,0,0.016005,Moonshot AI,
0a0f784a,moonshotai/kimi-k3,3,1,294,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
0e5486aa,moonshotai/kimi-k3,3,1,356,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
10cdde16,moonshotai/kimi-k3,3,1,53,False,False,True,True,false_alarm,5280,11,0,0.016005,Moonshot AI,
12313238,moonshotai/kimi-k3,3,1,127,False,False,True,True,false_alarm,5280,11,0,0.016005,Moonshot AI,
130175d4,moonshotai/kimi-k3,3,1,257,False,False,True,True,false_alarm,5280,11,0,0.016005,Moonshot AI,
19fdac4a,moonshotai/kimi-k3,3,1,126,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
1bd85427,moonshotai/kimi-k3,3,1,38,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
185b5234,moonshotai/kimi-k3,3,1,186,True,True,True,True,hit,5280,11,0,0.016005,Moonshot AI,
113d24fa,moonshotai/kimi-k3,3,1,777,False,False,False,False,correct_rejection,5280,11,0,0.016005,Moonshot AI,
1c94fbd8,moonshotai/kimi-k3,3,1,123,False,False,False,False,correct_rejection,5280,11,0,0.016005,Moonshot AI,
21f870af,moonshotai/kimi-k3,3,1,94,True,True,False,False,miss,5280,11,0,0.016005,Moonshot AI,
22d6166f,moonshotai/kimi-k3,3,1,50,True,True,False,False,miss,5280,11,0,0.016005,Moonshot AI,
2954269c,moonshotai/kimi-k3,3,1,347,False,False,True,True,false_alarm,5280,11,0,0.016005,Moonshot AI,
218309f3,moonshotai/kimi-k3,3,1,166,True,True,False,False,miss,5280,11,0,0.016005,Moonshot AI,
