trial_id,model,redirect_condition,speed_condition,variant,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
905dcd21,qwen/qwen3.6-plus,slow,slow,native,5,1,0,True,True, True,True,hit,1639,2,0,0.000536575,
6857f3b0,qwen/qwen3.6-plus,slow,slow,native,5,1,3,True,True, True,True,hit,1639,2,0,0.000536575,
4f16cda4,qwen/qwen3.6-plus,slow,slow,native,5,1,1,True,True, True,True,hit,1639,2,0,0.000536575,
b91ec650,qwen/qwen3.6-plus,slow,slow,native,5,1,2,True,True, True,True,hit,1639,2,0,0.000536575,
62535b45,qwen/qwen3.6-plus,slow,slow,native,5,1,4,True,True, True,True,hit,1639,2,0,0.000536575,
51d61568,qwen/qwen3.6-plus,slow,slow,native,5,1,5,True,True, True,True,hit,1639,2,0,0.000536575,
952fccb6,qwen/qwen3.6-plus,slow,slow,native,5,1,6,True,True, True,True,hit,1639,2,0,0.000536575,
3ebde4d2,qwen/qwen3.6-plus,slow,slow,native,5,1,7,True,True, True,True,hit,1639,2,0,0.000536575,
0a4b05c4,qwen/qwen3.6-plus,slow,slow,native,5,1,9,True,True, True,True,hit,1639,2,0,0.000536575,
c544b9d7,qwen/qwen3.6-plus,slow,slow,native,5,1,8,True,True, False,False,miss,1639,2,0,0.000536575,
bde385cf,qwen/qwen3.6-plus,slow,slow,native,5,1,10,False,False, True,True,false_alarm,1639,2,0,0.000536575,
c7afbe61,qwen/qwen3.6-plus,slow,slow,native,5,1,11,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
65635e9f,qwen/qwen3.6-plus,slow,slow,native,5,1,13,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
fa792fd1,qwen/qwen3.6-plus,slow,slow,native,5,1,12,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
2a603401,qwen/qwen3.6-plus,slow,slow,native,5,1,14,False,False, True,True,false_alarm,1639,2,0,0.000536575,
c7e02345,qwen/qwen3.6-plus,slow,slow,native,5,1,16,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
7b83bd72,qwen/qwen3.6-plus,slow,slow,native,5,1,17,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
d496f21e,qwen/qwen3.6-plus,slow,slow,native,5,1,18,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
96ffc5aa,qwen/qwen3.6-plus,slow,slow,native,5,1,15,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
d4c2f2e7,qwen/qwen3.6-plus,slow,slow,native,5,1,19,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
57d5859a,qwen/qwen3.6-plus,slow,slow,stretched,5,1,2,True,True, True,True,hit,7399,2,0,0.002408575,
60dea659,qwen/qwen3.6-plus,slow,slow,stretched,5,1,4,True,True, True,True,hit,7399,2,0,0.002408575,
7b0e1d54,qwen/qwen3.6-plus,slow,slow,stretched,5,1,3,True,True, True,True,hit,7399,2,0,0.002408575,
85996ce1,qwen/qwen3.6-plus,slow,slow,stretched,5,1,1,True,True, True,True,hit,7399,2,0,0.002408575,
45de3626,qwen/qwen3.6-plus,slow,slow,stretched,5,1,0,True,True, True,True,hit,7399,2,0,0.002408575,
6aa02237,qwen/qwen3.6-plus,slow,slow,stretched,5,1,5,True,True, True,True,hit,7399,2,0,0.002408575,
ab232f0f,qwen/qwen3.6-plus,slow,slow,stretched,5,1,7,True,True, True,True,hit,7399,2,0,0.002408575,
c042e091,qwen/qwen3.6-plus,slow,slow,stretched,5,1,6,True,True, True,True,hit,7399,2,0,0.002408575,
c3a866b7,qwen/qwen3.6-plus,slow,slow,stretched,5,1,9,True,True, True,True,hit,7399,2,0,0.002408575,
05a77455,qwen/qwen3.6-plus,slow,slow,stretched,5,1,8,True,True, True,True,hit,7399,2,0,0.002408575,
3da8f0cb,qwen/qwen3.6-plus,slow,slow,stretched,5,1,10,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
2538285e,qwen/qwen3.6-plus,slow,slow,stretched,5,1,11,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
98af6dc8,qwen/qwen3.6-plus,slow,slow,stretched,5,1,13,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
8e9a524d,qwen/qwen3.6-plus,slow,slow,stretched,5,1,12,False,False, True,True,false_alarm,7399,2,0,0.002408575,
d9e1f48c,qwen/qwen3.6-plus,slow,slow,stretched,5,1,14,False,False, True,True,false_alarm,7399,2,0,0.002408575,
ffb52dc1,qwen/qwen3.6-plus,slow,slow,stretched,5,1,15,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
ac5bb28f,qwen/qwen3.6-plus,slow,slow,stretched,5,1,16,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
566cb927,qwen/qwen3.6-plus,slow,slow,stretched,5,1,18,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
fe15a2d2,qwen/qwen3.6-plus,slow,slow,stretched,5,1,17,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
a4d88720,qwen/qwen3.6-plus,slow,slow,stretched,5,1,19,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
1ce529dc,google/gemma-4-31b-it,slow,slow,native,5,1,2,True,True,True,True,hit,2530,2,0,0.00025368,
cb0dfab0,google/gemma-4-31b-it,slow,slow,native,5,1,0,True,True,True,True,hit,2530,2,0,0.00025368,
eb78e1c8,google/gemma-4-31b-it,slow,slow,native,5,1,1,True,True,True,True,hit,2530,2,0,0.00025368,
fa442aec,google/gemma-4-31b-it,slow,slow,native,5,1,4,True,True,True,True,hit,2530,2,0,0.00025368,
2f6b9cce,google/gemma-4-31b-it,slow,slow,native,5,1,3,True,True,True,True,hit,2530,2,0,0.00025368,
796c1f55,google/gemma-4-31b-it,slow,slow,native,5,1,6,True,True,True,True,hit,2530,2,0,0.00025368,
1363dd6e,google/gemma-4-31b-it,slow,slow,native,5,1,7,True,True,True,True,hit,2530,2,0,0.00025368,
760acc47,google/gemma-4-31b-it,slow,slow,native,5,1,8,True,True,True,True,hit,2530,2,0,0.00025368,
245f47f3,google/gemma-4-31b-it,slow,slow,native,5,1,9,True,True,True,True,hit,2530,2,0,0.00025368,
e22237c3,google/gemma-4-31b-it,slow,slow,native,5,1,10,False,False,True,True,false_alarm,2530,2,0,0.00025368,
27c66b21,google/gemma-4-31b-it,slow,slow,native,5,1,11,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
a46fb849,google/gemma-4-31b-it,slow,slow,native,5,1,12,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
13abc97c,google/gemma-4-31b-it,slow,slow,native,5,1,13,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
75c22dcf,google/gemma-4-31b-it,slow,slow,native,5,1,5,True,True,True,True,hit,2528,2,0,0.0002282,
780d708d,google/gemma-4-31b-it,slow,slow,native,5,1,14,False,False,True,True,false_alarm,2530,2,0,0.00025368,
f29855a1,google/gemma-4-31b-it,slow,slow,native,5,1,15,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
f37c9dbd,google/gemma-4-31b-it,slow,slow,native,5,1,16,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
b4c4a88a,google/gemma-4-31b-it,slow,slow,native,5,1,19,False,False,True,True,false_alarm,216,1,0,0.000163,
6029ccfb,google/gemma-4-31b-it,slow,slow,native,5,1,18,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
bca5c11e,google/gemma-4-31b-it,slow,slow,native,5,1,17,False,False,False,False,correct_rejection,2528,2,0,0.0002282,
394b34ca,google/gemma-4-31b-it,slow,slow,stretched,5,1,3,True,True,True,True,hit,216,1,0,0.000163,
4701eec1,google/gemma-4-31b-it,slow,slow,stretched,5,1,0,True,True,True,True,hit,2530,2,0,0.00025368,
d23cdc73,google/gemma-4-31b-it,slow,slow,stretched,5,1,4,True,True,True,True,hit,2530,2,0,0.00025368,
9a275e53,google/gemma-4-31b-it,slow,slow,stretched,5,1,1,True,True,True,True,hit,2530,2,0,0.00025368,
8ce2f4d1,google/gemma-4-31b-it,slow,slow,stretched,5,1,7,True,True,True,True,hit,216,1,0,0.000163,
31a4df7c,google/gemma-4-31b-it,slow,slow,stretched,5,1,6,True,True,True,True,hit,2530,2,0,0.00025368,
d43d9da7,google/gemma-4-31b-it,slow,slow,stretched,5,1,9,True,True,True,True,hit,216,1,0,0.000163,
6c31321f,google/gemma-4-31b-it,slow,slow,stretched,5,1,2,True,True,True,True,hit,2528,2,0,0.0002282,
cff9ca5e,google/gemma-4-31b-it,slow,slow,stretched,5,1,12,False,False,False,False,correct_rejection,216,2,0,0.000164,
e58f640d,google/gemma-4-31b-it,slow,slow,stretched,5,1,5,True,True,True,True,hit,2528,2,0,0.0002282,
b7690a41,google/gemma-4-31b-it,slow,slow,stretched,5,1,10,False,False,True,True,false_alarm,2530,2,0,0.00025368,
e76d8520,google/gemma-4-31b-it,slow,slow,stretched,5,1,11,False,False,False,False,correct_rejection,2530,2,0,0.00025368,
