trial_id,model,redirect_condition,speed_condition,variant,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
38120b80,qwen/qwen3.6-plus,slow,slow,native,3,1,0,True,True, True,True,hit,1639,2,0,0.000536575,
6ec41b91,qwen/qwen3.6-plus,slow,slow,stretched,3,1,0,True,True, True,True,hit,7399,2,0,0.002408575,
b1c56e7c,qwen/qwen3.6-plus,slow,fast,native,3,1,0,True,True, True,True,hit,1639,2,0,0.000536575,
e801c904,qwen/qwen3.6-plus,slow,fast,stretched,3,1,0,True,True, True,True,hit,7399,2,0,0.002408575,
80526edb,qwen/qwen3.6-plus,fast,slow,native,3,1,0,True,True, True,True,hit,1639,2,0,0.000536575,
2ec39b41,qwen/qwen3.6-plus,fast,slow,stretched,3,1,0,True,True, True,True,hit,7399,2,0,0.002408575,
2225aea3,qwen/qwen3.6-plus,fast,fast,native,3,1,0,True,True, True,True,hit,1639,2,0,0.000536575,
5192a763,qwen/qwen3.6-plus,fast,fast,stretched,3,1,0,True,True, True,True,hit,7399,2,0,0.002408575,
ff6a2d82,qwen/qwen3.6-plus,slow,slow,native,3,1,5,True,True, True,True,hit,1639,2,0,0.000536575,
43fdad19,qwen/qwen3.6-plus,slow,slow,native,3,1,4,True,True, True,True,hit,1639,2,0,0.000536575,
2576beeb,qwen/qwen3.6-plus,slow,slow,native,3,1,2,True,True, True,True,hit,1639,2,0,0.000536575,
d971e559,qwen/qwen3.6-plus,slow,slow,native,3,1,6,True,True, True,True,hit,1639,2,0,0.000536575,
80934d3f,qwen/qwen3.6-plus,slow,slow,native,3,1,1,True,True, True,True,hit,1639,2,0,0.000536575,
16cbe4d2,qwen/qwen3.6-plus,slow,slow,native,3,1,3,True,True, True,True,hit,1639,2,0,0.000536575,
d08f1016,qwen/qwen3.6-plus,slow,slow,native,3,1,9,False,False, True,True,false_alarm,1639,2,0,0.000536575,
4d98ae3c,qwen/qwen3.6-plus,slow,slow,native,3,1,8,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
e0bf8994,qwen/qwen3.6-plus,slow,slow,native,3,1,11,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
b541dcdf,qwen/qwen3.6-plus,slow,slow,native,3,1,10,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
eb328c70,qwen/qwen3.6-plus,slow,slow,native,3,1,12,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
0e105710,qwen/qwen3.6-plus,slow,slow,native,3,1,7,True,True, True,True,hit,1639,2,0,0.000536575,
08ad77e8,qwen/qwen3.6-plus,slow,slow,native,3,1,13,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
6bb9833d,qwen/qwen3.6-plus,slow,slow,native,3,1,14,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
e1744ba9,qwen/qwen3.6-plus,slow,slow,native,3,1,15,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
d85d6bab,qwen/qwen3.6-plus,slow,slow,stretched,3,1,1,True,True, True,True,hit,7399,2,0,0.002408575,
e91c0283,qwen/qwen3.6-plus,slow,slow,stretched,3,1,2,True,True, True,True,hit,7399,2,0,0.002408575,
7ae9dbd7,qwen/qwen3.6-plus,slow,slow,stretched,3,1,3,True,True, True,True,hit,7399,2,0,0.002408575,
8cc00852,qwen/qwen3.6-plus,slow,slow,stretched,3,1,4,True,True, True,True,hit,7399,2,0,0.002408575,
e53f8c7f,qwen/qwen3.6-plus,slow,slow,stretched,3,1,6,True,True, True,True,hit,7399,2,0,0.002408575,
463eac20,qwen/qwen3.6-plus,slow,slow,stretched,3,1,5,True,True, True,True,hit,7399,2,0,0.002408575,
ccf49f34,qwen/qwen3.6-plus,slow,slow,stretched,3,1,7,True,True, True,True,hit,7399,2,0,0.002408575,
d4638254,qwen/qwen3.6-plus,slow,slow,stretched,3,1,9,False,False, True,True,false_alarm,7399,2,0,0.002408575,
f7075018,qwen/qwen3.6-plus,slow,slow,stretched,3,1,8,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
bb63a4f7,qwen/qwen3.6-plus,slow,slow,stretched,3,1,11,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
65ce98e0,qwen/qwen3.6-plus,slow,slow,stretched,3,1,10,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
7e20b78b,qwen/qwen3.6-plus,slow,fast,native,3,1,1,True,True, True,True,hit,1639,2,0,0.000536575,
be66eb24,qwen/qwen3.6-plus,slow,slow,stretched,3,1,12,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
1d53cb19,qwen/qwen3.6-plus,slow,fast,native,3,1,2,True,True, True,True,hit,1639,2,0,0.000536575,
aa508a60,qwen/qwen3.6-plus,slow,slow,stretched,3,1,14,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
155374d3,qwen/qwen3.6-plus,slow,slow,stretched,3,1,15,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
9d4c407e,qwen/qwen3.6-plus,slow,slow,stretched,3,1,13,False,False, False,False,correct_rejection,7399,2,0,0.002408575,
5e8dd7b6,qwen/qwen3.6-plus,slow,fast,native,3,1,3,True,True, True,True,hit,1639,2,0,0.000536575,
793c94d6,qwen/qwen3.6-plus,slow,fast,native,3,1,4,True,True, True,True,hit,1639,2,0,0.000536575,
dca72234,qwen/qwen3.6-plus,slow,fast,native,3,1,5,True,True, True,True,hit,1639,2,0,0.000536575,
ffcd7318,qwen/qwen3.6-plus,slow,fast,native,3,1,6,True,True, True,True,hit,1639,2,0,0.000536575,
f7d6f627,qwen/qwen3.6-plus,slow,fast,native,3,1,7,True,True, True,True,hit,1639,2,0,0.000536575,
3f103a0f,qwen/qwen3.6-plus,slow,fast,native,3,1,8,False,False, True,True,false_alarm,1639,2,0,0.000536575,
1a803798,qwen/qwen3.6-plus,slow,fast,native,3,1,9,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
e224871c,qwen/qwen3.6-plus,slow,fast,native,3,1,10,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
1c249746,qwen/qwen3.6-plus,slow,fast,native,3,1,11,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
63a636fe,qwen/qwen3.6-plus,slow,fast,native,3,1,12,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
47111995,qwen/qwen3.6-plus,slow,fast,native,3,1,13,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
015a74b0,qwen/qwen3.6-plus,slow,fast,native,3,1,14,False,False, True,True,false_alarm,1639,2,0,0.000536575,
df7f6c01,qwen/qwen3.6-plus,slow,fast,native,3,1,15,False,False, False,False,correct_rejection,1639,2,0,0.000536575,
