trial_id,model,rotation_deg,variant,n_objects,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,error
700f821c,qwen/qwen3.8-27b,40,native,3,4,True,True,True,True,hit,1728,2,0,0.000752616,
28d4763f,qwen/qwen3.8-27b,40,native,3,5,True,True,False,False,miss,1728,2,0,0.0006099,
ff26fc1e,qwen/qwen3.8-27b,40,native,3,2,True,True,False,False,miss,1728,2,0,0.000784,
70057d58,qwen/qwen3.8-27b,40,native,3,0,True,True,True,True,hit,1648,2,0,0.0007055,
39666fe3,qwen/qwen3.8-27b,40,native,3,1,True,True,False,False,miss,1728,2,0,0.0006112,
ad555d47,qwen/qwen3.8-27b,40,native,3,3,True,True,False,False,miss,2640,2,0,0.001062,
2562bf13,qwen/qwen3.8-27b,40,native,3,8,True,True,False,False,miss,1728,2,0,0.0006099,
64598fbf,qwen/qwen3.8-27b,40,native,3,7,True,True,False,False,miss,2640,2,0,0.001062,
ab42e327,qwen/qwen3.8-27b,40,native,3,9,True,True,False,False,miss,1728,2,0,0.000752616,
d30c6eaf,qwen/qwen3.8-27b,40,native,3,10,False,False,True,True,false_alarm,1728,2,0,0.000752616,
86316639,qwen/qwen3.8-27b,40,native,3,11,False,False,False,False,correct_rejection,1728,2,0,0.0006099,
d278874a,qwen/qwen3.8-27b,40,native,3,12,False,False,False,False,correct_rejection,1728,2,0,0.0006112,
05fbf37b,qwen/qwen3.8-27b,40,native,3,13,False,False,False,False,correct_rejection,1648,2,0,0.0007055,
4d9babe6,qwen/qwen3.8-27b,40,native,3,16,False,False,False,False,correct_rejection,1728,2,0,0.000784,
b10efb1d,qwen/qwen3.8-27b,40,native,3,15,False,False,False,False,correct_rejection,1728,2,0,0.0006099,
db3b9078,qwen/qwen3.8-27b,40,native,3,6,True,True,False,False,miss,1648,2,0,0.0007055,
ebb6de29,qwen/qwen3.8-27b,40,native,3,17,False,False,True,True,false_alarm,1728,2,0,0.000784,
c657c9a3,qwen/qwen3.8-27b,40,native,3,14,False,False,False,False,correct_rejection,1728,2,0,0.00055796,
da3754d4,qwen/qwen3.8-27b,40,stretched,3,0,True,True,False,False,miss,7848,2,0,0.00251636,
0f9ab40e,qwen/qwen3.8-27b,40,native,3,18,False,False,False,False,correct_rejection,1728,2,0,0.0006099,
29e5cd06,qwen/qwen3.8-27b,40,native,3,19,False,False,False,False,correct_rejection,1728,2,0,0.000784,
759bb246,qwen/qwen3.8-27b,40,stretched,3,6,True,True,False,False,miss,7848,2,0,0.0027519,
6ac3766a,qwen/qwen3.8-27b,40,stretched,3,4,True,True,False,False,miss,7408,2,0,0.00311736,
f96d6870,qwen/qwen3.8-27b,40,stretched,3,1,True,True,True,True,hit,7848,2,0,0.003538,
84acd741,qwen/qwen3.8-27b,40,stretched,3,5,True,True,False,False,miss,7848,2,0,0.00251636,
de60b5b7,qwen/qwen3.8-27b,40,stretched,3,3,True,True,True,True,hit,7408,2,0,0.00311736,
da436058,qwen/qwen3.8-27b,40,stretched,3,7,True,True,True,True,hit,7848,2,0,0.0027532,
3971c175,qwen/qwen3.8-27b,40,stretched,3,10,False,False,True,True,false_alarm,7848,2,0,0.0027519,
0fa98704,qwen/qwen3.8-27b,40,stretched,3,9,True,True,True,True,hit,7848,2,0,0.0031452,
796c34f4,qwen/qwen3.8-27b,40,stretched,3,11,False,False,False,False,correct_rejection,7848,2,0,0.0031452,
56c245fe,qwen/qwen3.8-27b,40,stretched,3,12,False,False,False,False,correct_rejection,7848,2,0,0.003538,
23e4481d,qwen/qwen3.8-27b,40,stretched,3,13,False,False,False,False,correct_rejection,7408,2,0,0.00311736,
84cbdb52,qwen/qwen3.8-27b,40,stretched,3,14,False,False,False,False,correct_rejection,7848,2,0,0.00251636,
4ce90d20,qwen/qwen3.8-27b,40,stretched,3,2,True,True,False,False,miss,7848,2,0,0.0027519,
6b86576e,qwen/qwen3.8-27b,40,stretched,3,16,False,False,False,False,correct_rejection,7848,2,0,0.0027519,
ccd0decc,qwen/qwen3.8-27b,40,stretched,3,17,False,False,True,True,false_alarm,7848,2,0,0.0027532,
45a3ea62,qwen/qwen3.8-27b,40,stretched,3,18,False,False,False,False,correct_rejection,7848,2,0,0.0027519,
bb02463a,qwen/qwen3.8-27b,40,stretched,3,19,False,False,False,False,correct_rejection,7848,2,0,0.00251636,
d584afcb,qwen/qwen3.8-27b,40,stretched,3,15,False,False,False,False,correct_rejection,7848,2,0,0.0027532,
761743d0,qwen/qwen3.8-27b,40,stretched,3,8,True,True,False,False,miss,7848,2,0,0.00251636,
e0b4c4e1,qwen/qwen3.8-27b,80,native,3,0,True,True,False,False,miss,1728,2,0,0.0006972,
ba0cd319,qwen/qwen3.8-27b,80,native,3,5,True,True,False,False,miss,1728,2,0,0.0006099,
ad7a10ad,qwen/qwen3.8-27b,80,native,3,2,True,True,True,True,hit,1728,2,0,0.0006972,
fac55702,qwen/qwen3.8-27b,80,native,3,1,True,True,False,False,miss,1728,2,0,0.0006099,
0cffe561,qwen/qwen3.8-27b,80,native,3,7,True,True,False,False,miss,1648,2,0,0.00069816,
13379005,qwen/qwen3.8-27b,80,native,3,4,True,True,False,False,miss,1728,2,0,0.00055796,
2a0696d5,qwen/qwen3.8-27b,80,native,3,6,True,True,True,True,hit,1728,2,0,0.000784,
9182de31,qwen/qwen3.8-27b,80,native,3,8,True,True,False,False,miss,1728,2,0,0.0006099,
4c4ac7e0,qwen/qwen3.8-27b,80,native,3,9,True,True,True,True,hit,1728,2,0,0.0006099,
cd4c45c9,qwen/qwen3.8-27b,80,native,3,10,False,False,True,True,false_alarm,1728,2,0,0.0006099,
71918fdd,qwen/qwen3.8-27b,80,native,3,12,False,False,True,True,false_alarm,1728,2,0,0.000784,
