trial_id,n_circles,seed,true_letters,heuristic_letters,predicted_letters,heuristic_correct,model_matches_truth,model_matches_heuristic
791fbec5,2,3,A,A,A,True,True,True
046c4cd1,2,2,B,B,B,True,True,True
f3f11059,2,1,A,A,A,True,True,True
3425a1e6,2,0,B,B,B,True,True,True
741d8b9f,2,7,A,A,A,True,True,True
76960b22,2,4,B,A,B,False,True,False
1f2ddccd,2,8,A,A,A,True,True,True
a6d3d1df,3,0,B,B,B,True,True,True
caeba1d5,2,5,A,B,A,False,True,False
25944707,2,6,B,A,B,False,True,False
8ccf7354,2,9,A,B,B,False,False,True
9e3f1a9d,3,3,A,A,A,True,True,True
61c7deda,3,2,B,A,A,False,False,True
f24d1733,3,5,B,B,B,True,True,True
50d4d5e0,3,4,B,B,B,True,True,True
de601547,3,6,C,A,C,False,True,False
d5bd03a9,3,1,C,C,C,True,True,True
d0f0a9ae,4,1,B,B,B,True,True,True
5106aed3,4,0,B,A,B,False,True,False
708957d2,4,2,C,C,C,True,True,True
f6bb6663,3,8,C,C,C,True,True,True
4424da06,3,7,C,B,C,False,True,False
cdf61852,4,3,C,B,C,False,True,False
390b4ba9,4,4,C,C,C,True,True,True
67d3ea67,3,9,C,C,C,True,True,True
677f5420,4,9,C,D,C,False,True,False
8ba38c7c,4,5,B,D,C,False,False,False
b4eefb80,5,0,E,D,E,False,True,False
b0d380eb,4,8,A,A,A,True,True,True
9f000bd7,4,7,D,C,D,False,True,False
d8556c17,4,6,B,B,B,True,True,True
df172064,5,1,E,E,E,True,True,True
d23de978,5,3,C,E,A,False,False,False
eee8074c,5,6,C,C,C,True,True,True
b1625d2b,5,2,D,A,A,False,False,True
d4c005a9,5,4,D,B,C,False,False,False
d370445e,5,5,D,B,B,False,False,True
c609be2a,6,0,E,D,E,False,True,False
f5cfd619,5,7,B,A,B,False,True,False
489f0b40,5,8,B,B,B,True,True,True
4b36e3e8,6,2,E,B,E,False,True,False
22c125bd,6,1,C,C,C,True,True,True
3cb136e3,6,6,C,C,C,True,True,True
e2981cb0,5,9,E,A,E,False,True,False
79568e87,6,4,E,B,C,False,False,False
5c1e5086,6,7,E,B,E,False,True,False
b1d250c2,6,5,A,D,B,False,False,False
edab5523,7,0,E,G,G,False,False,True
0d110066,6,3,C,F,B,False,False,False
39cc70a1,7,1,G,D,B,False,False,False
e80197fd,6,8,B,B,B,True,True,True
bc73220d,7,2,E,B,E,False,True,False
bd1cf1f9,7,4,C,G,B,False,False,False
15da80af,6,9,D,F,D,False,True,False
c1278e9f,7,7,G,D,G,False,True,False
bd1f657d,7,3,C,D,"D,E,F,X,Y",False,False,False
b32a716b,7,5,D,B,D,False,True,False
71450bbd,7,8,B,B,B,True,True,True
a5364b84,8,3,C,F,C,False,True,False
d6a138e0,7,6,C,D,D,False,False,True
e5e75734,8,1,E,E,E,True,True,True
f4a898ba,7,9,C,F,C,False,True,False
5ef96719,8,0,H,B,D,False,False,False
191cbc51,8,4,B,F,D,False,False,False
d05138d3,8,8,A,H,A,False,True,False
4c1cbd44,8,5,D,E,G,False,False,False
a69f0905,8,6,D,C,F,False,False,False
7b2698ac,8,7,G,B,"B,C,E,F,G,H,S,X,Y",False,False,False
7c049261,8,9,B,E,B,False,True,False
