trial_id,model,n_objects,redirect_condition,speed_condition,variant,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,output_tokens,generation_time_s,error
0093e889,google/gemma-4-31b-it-local,4,fast,fast,native,43,False,False,False,False,correct_rejection,2528,2,2.9785501956939697,
0406fe68,google/gemma-4-31b-it-local,4,fast,fast,native,10,True,True,True,True,hit,2528,2,1.6762845516204834,
04563566,google/gemma-4-31b-it-local,4,fast,fast,native,617,False,False,True,True,false_alarm,2528,2,1.6731157302856445,
07f9b468,google/gemma-4-31b-it-local,4,fast,fast,native,34,True,True,False,False,miss,2528,2,1.6808745861053467,
0969cc3a,google/gemma-4-31b-it-local,4,fast,fast,native,455,False,False,True,True,false_alarm,2528,2,1.6890459060668945,
09c7707a,google/gemma-4-31b-it-local,4,fast,fast,native,491,False,False,True,True,false_alarm,2528,2,1.6810860633850098,
0a2f685e,google/gemma-4-31b-it-local,4,fast,fast,native,12,True,True,False,False,miss,2528,2,1.693028450012207,
0ae2e913,google/gemma-4-31b-it-local,4,fast,fast,native,148,True,True,True,True,hit,2528,2,1.696711778640747,
0b3c11b2,google/gemma-4-31b-it-local,4,fast,fast,native,134,True,True,True,True,hit,2528,2,1.6781351566314697,
0d3be742,google/gemma-4-31b-it-local,4,fast,fast,native,50,True,True,False,False,miss,2528,2,1.6915740966796875,
0e1e7a6c,google/gemma-4-31b-it-local,4,fast,fast,native,575,False,False,True,True,false_alarm,2528,2,1.6946442127227783,
0e2d114b,google/gemma-4-31b-it-local,4,fast,fast,native,20,True,True,True,True,hit,2528,2,1.6799914836883545,
0f227b01,google/gemma-4-31b-it-local,4,fast,fast,native,36,True,True,False,False,miss,2528,2,1.685157060623169,
1349d0d0,google/gemma-4-31b-it-local,4,fast,fast,native,160,True,True,False,False,miss,2528,2,1.6894745826721191,
13ea8961,google/gemma-4-31b-it-local,4,fast,fast,native,46,True,True,False,False,miss,2528,2,1.693403959274292,
171a4811,google/gemma-4-31b-it-local,4,fast,fast,native,42,True,True,True,True,hit,2528,2,1.6977758407592773,
17f6975b,google/gemma-4-31b-it-local,4,fast,fast,native,62,True,True,False,False,miss,2528,2,1.6961665153503418,
194f707e,google/gemma-4-31b-it-local,4,fast,fast,native,13,False,False,False,False,correct_rejection,2528,2,1.7014541625976562,
1b9bb719,google/gemma-4-31b-it-local,4,fast,fast,native,15,False,False,True,True,false_alarm,2528,2,1.6988120079040527,
236eaca3,google/gemma-4-31b-it-local,4,fast,fast,native,37,False,False,False,False,correct_rejection,2528,2,1.693042516708374,
26cdf3cc,google/gemma-4-31b-it-local,4,fast,fast,native,33,False,False,False,False,correct_rejection,2528,2,1.6979427337646484,
27488780,google/gemma-4-31b-it-local,4,fast,fast,native,122,True,True,False,False,miss,2528,2,1.7045025825500488,
28ada0c7,google/gemma-4-31b-it-local,4,fast,fast,native,16,True,True,False,False,miss,2528,2,1.6977906227111816,
2b144705,google/gemma-4-31b-it-local,4,fast,fast,native,126,True,True,False,False,miss,2528,2,1.692751169204712,
34014035,google/gemma-4-31b-it-local,4,fast,fast,native,109,False,False,False,False,correct_rejection,2528,2,1.6958775520324707,
3511deee,google/gemma-4-31b-it-local,4,fast,fast,native,2,True,True,True,True,hit,2528,2,1.7057695388793945,
3ce66a26,google/gemma-4-31b-it-local,4,fast,fast,native,152,True,True,True,True,hit,2528,2,1.6996238231658936,
3f3ee5d3,google/gemma-4-31b-it-local,4,fast,fast,native,14,True,True,True,True,hit,2528,2,1.6930012702941895,
51a898db,google/gemma-4-31b-it-local,4,fast,fast,native,6,True,True,False,False,miss,2528,2,1.7003767490386963,
525119d3,google/gemma-4-31b-it-local,4,fast,fast,native,60,True,True,False,False,miss,2528,2,1.699127197265625,
56746d39,google/gemma-4-31b-it-local,4,fast,fast,native,54,True,True,True,True,hit,2528,2,1.6998939514160156,
5780f8d6,google/gemma-4-31b-it-local,4,fast,fast,native,3,False,False,False,False,correct_rejection,2528,2,1.7064852714538574,
58ff2493,google/gemma-4-31b-it-local,4,fast,fast,native,26,True,True,True,True,hit,2528,2,1.699329137802124,
5ad3ff58,google/gemma-4-31b-it-local,4,fast,fast,native,19,False,False,False,False,correct_rejection,2528,2,1.7091856002807617,
5d5c8d2c,google/gemma-4-31b-it-local,4,fast,fast,native,539,False,False,True,True,false_alarm,2528,2,1.7131171226501465,
61021ada,google/gemma-4-31b-it-local,4,fast,fast,native,18,True,True,True,True,hit,2528,2,1.698455810546875,
613c57b0,google/gemma-4-31b-it-local,4,fast,fast,native,40,True,True,False,False,miss,2528,2,1.7139561176300049,
69f79088,google/gemma-4-31b-it-local,4,fast,fast,native,1,False,False,False,False,correct_rejection,2528,2,1.7108166217803955,
6d56cd5f,google/gemma-4-31b-it-local,4,fast,fast,native,17,False,False,False,False,correct_rejection,2528,2,1.7064952850341797,
6ea03f6d,google/gemma-4-31b-it-local,4,fast,fast,native,121,False,False,False,False,correct_rejection,2528,2,1.7067370414733887,
723485bc,google/gemma-4-31b-it-local,4,fast,fast,native,32,True,True,True,True,hit,2528,2,1.7057502269744873,
755a28ee,google/gemma-4-31b-it-local,4,fast,fast,native,68,True,True,True,True,hit,2528,2,1.7125346660614014,
7943ae3e,google/gemma-4-31b-it-local,4,fast,fast,native,27,False,False,False,False,correct_rejection,2528,2,1.7065675258636475,
79fb0f5d,google/gemma-4-31b-it-local,4,fast,fast,native,97,False,False,False,False,correct_rejection,2528,2,1.7125208377838135,
7b07058d,google/gemma-4-31b-it-local,4,fast,fast,native,38,True,True,False,False,miss,2528,2,1.7168424129486084,
7dc1d88b,google/gemma-4-31b-it-local,4,fast,fast,native,28,True,True,True,True,hit,2528,2,1.7145912647247314,
7ff35e0b,google/gemma-4-31b-it-local,4,fast,fast,native,551,False,False,True,True,false_alarm,2528,2,1.7194581031799316,
8135ab67,google/gemma-4-31b-it-local,4,fast,fast,native,144,True,True,True,True,hit,2528,2,1.7155637741088867,
841bad3c,google/gemma-4-31b-it-local,4,fast,fast,native,85,False,False,True,True,false_alarm,2528,2,1.7167820930480957,
84c8e7c8,google/gemma-4-31b-it-local,4,fast,fast,native,51,False,False,False,False,correct_rejection,2528,2,1.7072484493255615,
8560c359,google/gemma-4-31b-it-local,4,fast,fast,native,9,False,False,False,False,correct_rejection,2528,2,1.7112255096435547,
861e87e3,google/gemma-4-31b-it-local,4,fast,fast,native,7,False,False,False,False,correct_rejection,2528,2,1.718275547027588,
882e504d,google/gemma-4-31b-it-local,4,fast,fast,native,58,True,True,True,True,hit,2528,2,1.71803879737854,
889ebd5e,google/gemma-4-31b-it-local,4,fast,fast,native,0,True,True,True,True,hit,2528,2,1.7105212211608887,
88d80966,google/gemma-4-31b-it-local,4,fast,fast,native,29,False,False,False,False,correct_rejection,2528,2,1.7242894172668457,
88de2586,google/gemma-4-31b-it-local,4,fast,fast,native,39,False,False,False,False,correct_rejection,2528,2,1.7095496654510498,
90f97b88,google/gemma-4-31b-it-local,4,fast,fast,native,56,True,True,False,False,miss,2528,2,1.7254273891448975,
9120175f,google/gemma-4-31b-it-local,4,fast,fast,native,41,False,False,False,False,correct_rejection,2528,2,1.7319457530975342,
