trial_id,model,n_objects,n_cued,seed,probe_on_target,probe_is_target,response,predicted,outcome,cost,error
715da9c6,qwen/qwen3.8-max,2,1,3,True,True,True,True,hit,0.027398,
dab6388b,qwen/qwen3.8-max,2,1,9,True,True,False,False,miss,0.028226,
bea2d4f3,qwen/qwen3.8-max,2,1,4,True,True,False,False,miss,0.029108,
54de4ef4,qwen/qwen3.8-max,2,1,6,True,True,True,True,hit,0.028424,
a956c30d,qwen/qwen3.8-max,2,1,5,True,True,True,True,hit,0.02837,
32d1da0f,qwen/qwen3.8-max,2,1,2,True,True,False,False,miss,0.030194,
0a391a10,qwen/qwen3.8-max,2,1,0,True,True,False,False,miss,0.029498,
9898e0af,qwen/qwen3.8-max,2,1,8,True,True,False,False,miss,0.030704,
3b96ef7a,qwen/qwen3.8-max,2,1,1,True,True,True,True,hit,0.033008,
c684a6ac,qwen/qwen3.8-max,2,1,13,False,False,False,False,correct_rejection,0.028142,
fae5611c,qwen/qwen3.8-max,2,1,7,True,True,True,True,hit,0.036446,
e2b486e9,qwen/qwen3.8-max,2,1,14,False,False,False,False,correct_rejection,0.029786,
ec3a2234,qwen/qwen3.8-max,2,1,16,False,False,True,True,false_alarm,0.028856,
32794963,qwen/qwen3.8-max,2,1,17,False,False,True,True,false_alarm,0.030434,
ac3db0bd,qwen/qwen3.8-max,2,1,11,False,False,True,True,false_alarm,0.0335,
6307f28d,qwen/qwen3.8-max,2,1,15,False,False,False,False,correct_rejection,0.033266,
7642966a,qwen/qwen3.8-max,2,1,12,False,False,True,True,false_alarm,0.034208,
4485f858,qwen/qwen3.8-max,4,1,1,True,True,False,False,miss,0.029588,
ebfef59c,qwen/qwen3.8-max,2,1,19,False,False,False,False,correct_rejection,0.031214,
d2ac24c0,qwen/qwen3.8-max,4,1,2,True,True,True,True,hit,0.029768,
4622a2ce,qwen/qwen3.8-max,4,1,3,True,True,False,False,miss,0.03107,
293321c1,qwen/qwen3.8-max,4,1,0,True,True,False,False,miss,0.033326,
c5abd066,qwen/qwen3.8-max,2,1,18,False,False,True,True,false_alarm,0.037178,
df8fc306,qwen/qwen3.8-max,4,1,5,True,True,False,False,miss,0.030716,
bc6a655e,qwen/qwen3.8-max,4,1,6,True,True,False,False,miss,0.029774,
f64ad29f,qwen/qwen3.8-max,4,1,8,True,True,False,False,miss,0.02777,
38513602,qwen/qwen3.8-max,4,1,7,True,True,False,False,miss,0.032984,
cea4036f,qwen/qwen3.8-max,4,1,4,True,True,False,False,miss,0.03548,
bdbf538c,qwen/qwen3.8-max,4,1,9,True,True,False,False,miss,0.032546,
25bea8be,qwen/qwen3.8-max,4,1,14,False,False,True,True,false_alarm,0.027842,
c7b6940c,qwen/qwen3.8-max,4,1,10,False,False,False,False,correct_rejection,0.03326,
8cb745f5,qwen/qwen3.8-max,4,1,11,False,False,False,False,correct_rejection,0.03191,
b3028fc9,qwen/qwen3.8-max,4,1,13,False,False,False,False,correct_rejection,0.032702,
43eeb766,qwen/qwen3.8-max,4,1,15,False,False,False,False,correct_rejection,0.031934,
1659e803,qwen/qwen3.8-max,4,1,17,False,False,True,True,false_alarm,0.029714,
d73e5296,qwen/qwen3.8-max,4,1,18,False,False,False,False,correct_rejection,0.03065,
12938fb0,qwen/qwen3.8-max,4,1,12,False,False,True,True,false_alarm,0.035954,
f02fd078,qwen/qwen3.8-max,4,1,16,False,False,False,False,correct_rejection,0.03347,
742b2ab8,qwen/qwen3.8-max,6,1,2,True,True,True,True,hit,0.026804,
f18f74a5,qwen/qwen3.8-max,6,1,0,True,True,True,True,hit,0.029174,
1274c19a,qwen/qwen3.8-max,4,1,19,False,False,False,False,correct_rejection,0.030422,
3bac3f8a,qwen/qwen3.8-max,6,1,1,True,True,True,True,hit,0.031856,
7a7700c0,qwen/qwen3.8-max,6,1,3,True,True,True,True,hit,0.031208,
1cce6cf4,qwen/qwen3.8-max,6,1,6,True,True,False,False,miss,0.028664,
a8533669,qwen/qwen3.8-max,6,1,4,True,True,False,False,miss,0.032018,
c9d0d1d9,qwen/qwen3.8-max,6,1,8,True,True,False,False,miss,0.028532,
59b5d2e0,qwen/qwen3.8-max,6,1,5,True,True,False,False,miss,0.03065,
43c9650d,qwen/qwen3.8-max,6,1,9,True,True,False,False,miss,0.030854,
55f32ae1,qwen/qwen3.8-max,6,1,7,True,True,False,False,miss,0.03515,
4ef522fb,qwen/qwen3.8-max,6,1,11,False,False,False,False,correct_rejection,0.033296,
c73e38b9,qwen/qwen3.8-max,6,1,10,False,False,True,True,false_alarm,0.03551,
0abbc813,qwen/qwen3.8-max,6,1,15,False,False,False,False,correct_rejection,0.02963,
a5ede6be,qwen/qwen3.8-max,6,1,16,False,False,False,False,correct_rejection,0.030086,
0a245626,qwen/qwen3.8-max,6,1,12,False,False,False,False,correct_rejection,0.035066,
da295a6c,qwen/qwen3.8-max,6,1,13,False,False,False,False,correct_rejection,0.03215,
f4a4a25b,qwen/qwen3.8-max,6,1,14,False,False,False,False,correct_rejection,0.033188,
bb90dc83,qwen/qwen3.8-max,6,1,18,False,False,True,True,false_alarm,0.031382,
83c24c7b,qwen/qwen3.8-max,6,1,17,False,False,True,True,false_alarm,0.03296,
bdf44296,qwen/qwen3.8-max,6,3,0,True,True,False,False,miss,0.02911,
4a3688bb,qwen/qwen3.8-max,6,1,19,False,False,False,False,correct_rejection,0.031136,
e58a8aa6,qwen/qwen3.8-max,6,3,2,True,True,False,False,miss,0.029944,
e998036c,qwen/qwen3.8-max,6,3,1,True,True,True,True,hit,0.030802,
3e81c856,qwen/qwen3.8-max,6,3,5,True,True,False,False,miss,0.029152,
20da1463,qwen/qwen3.8-max,6,3,6,True,True,False,False,miss,0.029056,
34aad10b,qwen/qwen3.8-max,6,3,3,True,True,False,False,miss,0.031708,
f3b29071,qwen/qwen3.8-max,6,3,4,True,True,False,False,miss,0.033196,
3178d584,qwen/qwen3.8-max,6,3,10,False,False,False,False,correct_rejection,0.028072,
c8e62def,qwen/qwen3.8-max,6,3,7,True,True,False,False,miss,0.032446,
a21f82c3,qwen/qwen3.8-max,6,3,9,True,True,False,False,miss,0.029998,
87dc5d74,qwen/qwen3.8-max,6,3,11,False,False,False,False,correct_rejection,0.026812,
3ab8be28,qwen/qwen3.8-max,6,3,14,False,False,False,False,correct_rejection,0.029518,
cbade308,qwen/qwen3.8-max,6,3,13,False,False,False,False,correct_rejection,0.032242,
42de5ae0,qwen/qwen3.8-max,6,3,19,False,False,False,False,correct_rejection,0.027784,
b202bf40,qwen/qwen3.8-max,6,3,17,False,False,True,True,false_alarm,0.030442,
9ecffac0,qwen/qwen3.8-max,6,3,15,False,False,False,False,correct_rejection,0.032692,
1dafb4f0,qwen/qwen3.8-max,6,3,12,False,False,False,False,correct_rejection,0.03517,
834f8c38,qwen/qwen3.8-max,6,3,16,False,False,True,True,false_alarm,0.034228,
35a039e2,qwen/qwen3.8-max,8,1,0,True,True,True,True,hit,0.030638,
690958a0,qwen/qwen3.8-max,6,3,18,False,False,True,True,false_alarm,0.032284,
88f53268,qwen/qwen3.8-max,8,1,1,True,True,False,False,miss,0.029102,
98f6930f,qwen/qwen3.8-max,8,1,2,True,True,False,False,miss,0.031046,
21597a6e,qwen/qwen3.8-max,8,1,3,True,True,False,False,miss,0.02927,
