provider_pinned,n_frames,rep,model,served_by_provider,response,prompt_tokens,completion_tokens,cost,error
deepinfra,1,0,google/gemma-4-31b-it,DeepInfra,A white plus sign is centered on a black background.,96,12,1.272e-05,
deepinfra,2,0,google/gemma-4-31b-it,DeepInfra,A white plus sign is centered against a black background.,169,12,1.929e-05,
deepinfra,3,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign is centered on a black background.,242,13,2.62e-05,
deepinfra,4,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign is centered on a black background.,315,13,3.277e-05,
deepinfra,5,0,google/gemma-4-31b-it,DeepInfra,A white plus sign is centered on a black background.,388,12,3.9e-05,
deepinfra,6,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves across a black background.,461,11,4.523e-05,
deepinfra,7,0,google/gemma-4-31b-it,DeepInfra,A white plus sign is centered on a black background.,534,12,5.214e-05,
deepinfra,8,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves across a black background.,607,11,5.837e-05,
deepinfra,9,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves slowly across a black background.,680,13,6.562e-05,
deepinfra,10,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves slowly from the left side toward the center of a black screen.,753,19,7.423e-05,
deepinfra,11,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves slowly from the left to the center of a black screen.,826,18,8.046e-05,
deepinfra,12,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally from the left to the center of a black background.,899,18,8.703e-05,
deepinfra,13,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally from the left to the center of a black screen.,972,19,9.394e-05,
deepinfra,14,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally across a black background from the left to the center.,1045,18,0.00010017,
deepinfra,15,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally from the left to the center of a black screen.,1118,18,0.00010674,
deepinfra,16,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally from the left to the right side of a black screen.,1191,20,0.00011399,
deepinfra,17,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally from the left to the right across a black background.,1264,18,0.00011988,
deepinfra,18,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally across a black screen.,1337,12,0.00012441,
deepinfra,19,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves across a black background.,1410,11,0.00013064,
deepinfra,20,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally across a black background.,1483,12,0.00013755,
deepinfra,21,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally across a black background from the left to the right.,1556,18,0.00014616,
deepinfra,22,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally from the top-left to the bottom-right of a black screen.,1629,22,0.00015409,
deepinfra,23,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally from the upper-left to the lower-right across a black background.,1702,23,0.000161,
deepinfra,24,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally from the center-left to the bottom-right against a black background.,1775,22,0.00016723,
deepinfra,25,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally across a black screen.,1848,12,0.0001704,
deepinfra,26,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally from the middle-left to the bottom-right of a black screen.,1921,23,0.00018071,
deepinfra,27,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally from the upper-left toward the lower-right across a black background.,1994,23,0.00018728,
deepinfra,28,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally from the upper left to the lower right against a black background.,2067,20,0.00019283,
deepinfra,29,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally across a black background from the top left to the bottom right.,2140,20,0.0001994,
deepinfra,30,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally across a black background.,2213,13,0.00020359,
deepinfra,31,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves diagonally across a black background from the left to the right.,2286,18,0.00021186,
deepinfra,32,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally from the left to the right across a black background.,2359,19,0.00021877,
deepinfra,33,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves diagonally across a black background from the left side to the right side.,2359,21,0.00021945,
deepinfra,34,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves horizontally across a black background from left to right.,2359,17,0.00021809,
deepinfra,35,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves diagonally from the left to the right against a black background.,2359,18,0.00021843,
deepinfra,36,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves across a black background from left to right.,2359,15,0.00021741,
deepinfra,37,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves horizontally across a black screen from left to right.,2359,16,0.00021775,
deepinfra,38,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves from left to right across a black background before disappearing.,2359,17,0.00021809,
deepinfra,39,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves across a black background from left to right before disappearing.,2359,17,0.00021809,
deepinfra,40,0,google/gemma-4-31b-it,DeepInfra,A small white plus sign moves horizontally across a black background from left to right.,2359,17,0.00021809,
deepinfra,41,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves across a black background from left to right before disappearing.,2359,17,0.00021809,
deepinfra,42,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves from the left to the right across a black background and then disappears.,2359,20,0.00021911,
deepinfra,43,0,google/gemma-4-31b-it,DeepInfra,A small white cross moves from left to right across a black background and then disappears.,2359,18,0.00021843,
deepinfra,44,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves across a black background from left to right and then disappears.,2359,18,0.00021843,
deepinfra,45,0,google/gemma-4-31b-it,DeepInfra,A white plus sign moves horizontally across a black screen before disappearing.,2359,14,0.00021707,
coreweave,1,0,google/gemma-4-31b-it,CoreWeave,"A small, white cross is centered against a solid black background.",98,14,1.456e-05,
coreweave,2,0,google/gemma-4-31b-it,CoreWeave,A white plus sign is centered against a solid black background.,171,13,2.152e-05,
coreweave,3,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign is centered on a solid black background.,244,14,2.916e-05,
coreweave,5,0,google/gemma-4-31b-it,CoreWeave,A white plus sign is centered against a black background.,390,12,4.308e-05,
coreweave,6,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign is centered on a solid black background.,463,14,5.106e-05,
coreweave,7,0,google/gemma-4-31b-it,CoreWeave,A small white cross is centered against a black background.,536,12,5.768e-05,
coreweave,8,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves across a black background.,609,11,6.464e-05,
coreweave,9,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally across a black background.,682,13,7.262e-05,
coreweave,10,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves slowly across a black background.,755,12,7.958e-05,
coreweave,11,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally from the middle-left towards the center of a black screen.,828,20,8.96e-05,
coreweave,12,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally across a black background.,901,12,9.418e-05,
coreweave,13,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally across a black screen.,974,12,0.00010148,
coreweave,14,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally from the left side toward the center of a black screen.,1047,20,0.0001115,
coreweave,15,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally across a black background from the left to the center.,1120,18,0.00011812,
coreweave,16,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves across a black background from left to right.,1193,15,0.0001244,
coreweave,17,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally across a black background.,1266,13,0.00013102,
coreweave,18,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally from the left side to the right side across a black background.,1339,21,0.00014104,
coreweave,20,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally from the upper left to the lower right on a black background.,1485,20,0.0001553,
coreweave,21,0,google/gemma-4-31b-it,CoreWeave,A white cross moves diagonally from the upper left to the lower right against a black background.,1558,19,0.00016226,
coreweave,22,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally from the top-left toward the bottom-right against a black background.,1631,22,0.00017058,
coreweave,23,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally from the left to the right against a solid black background.,1704,19,0.00017686,
coreweave,24,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally from the upper left to the lower right across a black background.,1777,20,0.0001845,
coreweave,25,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally from the upper left to the lower right against a black background.,1850,21,0.00019214,
coreweave,26,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally from the left side to the right side across a black background.,1923,20,0.0001991,
coreweave,27,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally from the top left to the bottom right against a black background.,1996,20,0.0002064,
coreweave,28,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally from the upper left to the lower right across a black background.,2069,20,0.0002137,
